iter,train_rmse,valid_rmse
0,0.05195692027902796,0.05087210409389323
1,0.04967014388745943,0.04880604132745901
2,0.04751626059046122,0.04687720983479057
3,0.04547847517895886,0.0450431442352467
4,0.0435544423008631,0.0433301498481551
5,0.04173307313958714,0.04169749387872156
6,0.04019873652095234,0.04035870662236067
7,0.0385561835295744,0.03890731874608142
8,0.03700573825434757,0.03757540564179112
9,0.0355480047339047,0.03631655055269383
10,0.03416926038170952,0.03514686426792596
11,0.03286355488217121,0.03406233512175907
12,0.03162424919456094,0.0330229103524691
13,0.03047059946751133,0.03207334681264724
14,0.02937444533699413,0.0311693161630789
15,0.0283565121370617,0.03035830540031889
16,0.02750897488347927,0.02969100337114994
17,0.02658097055755637,0.02893721597006075
18,0.02571408074565682,0.02827775679170843
19,0.02490372167208421,0.02764908351244473
20,0.02413700852875047,0.02704712489977191
21,0.02342991379925569,0.02650202033882695
22,0.02275200946557511,0.02600617045998442
23,0.02212809763033519,0.02555797877384864
24,0.02154773974882924,0.0251431739351744
25,0.02101154354362729,0.02475411774868293
26,0.02051231068797789,0.02440383377273603
27,0.0200285293785992,0.02406679924644659
28,0.01959102226429986,0.02375718702043607
29,0.01917917339124179,0.0234779469805474
30,0.01877457620653274,0.02320442017274208
31,0.01838783052553292,0.02295703829583158
32,0.01803566307505025,0.02271104321913574
33,0.01768300352115238,0.02249763079180073
34,0.0174216547998913,0.02233342269158092
35,0.01712843277091495,0.0221360881666146
36,0.01685218240165515,0.0219811809549823
37,0.01660190434072896,0.02181513092792087
38,0.01636214672385526,0.0216591475375585
39,0.01611573817595895,0.02149189831665009
40,0.01593882582180386,0.02139748392436689
41,0.01576094578566878,0.02129399950947363
42,0.01558549164398028,0.02121363291432308
43,0.01538312267826977,0.02108831182608067
44,0.01520974080780331,0.02098832781792043
45,0.01505917582510071,0.02091004482064277
46,0.01489270451569832,0.02080995506966579
47,0.01474015113964363,0.02073096507796566
48,0.01462433366005473,0.02067770077947621
49,0.01448950576178436,0.02060508899824869
50,0.01436326605016553,0.02053054192832322
51,0.01422952271903164,0.02046505049565541
52,0.01412924505947304,0.0204184411936994
53,0.01401155591277875,0.02037227842795129
54,0.01392542134280308,0.02031523347510239
55,0.01382504206949288,0.02026502261734251
56,0.01374025662938225,0.02021045779232074
57,0.01364866929083123,0.02014778847273279
58,0.0135733269363103,0.02011679587119848
59,0.01348723917494709,0.02007132502580521
60,0.01340991398571707,0.02004407944855615
61,0.01334286859525961,0.02001155669248262
62,0.01327384495342801,0.01998208904157745
63,0.01321432430004576,0.01994078962228803
64,0.01315778800960393,0.01990890125882898
65,0.01308389600826833,0.01987739059967053
66,0.01303088615405753,0.01985023922559471
67,0.01295960718546765,0.01980897848618287
68,0.01290589829653854,0.01978668807028174
69,0.01283048631923876,0.01974080398146356
70,0.0127808146089116,0.01971751089715242
71,0.01272599128200945,0.01969077979513459
72,0.01264806955337349,0.01966723637104694
73,0.01259867022993853,0.01964646529109424
74,0.012547968572711,0.01962874884836899
75,0.01250450739110856,0.01960628982324383
76,0.01244788563504098,0.01958626642543095
77,0.0124124879993867,0.01957181461143204
78,0.01238078205802172,0.01956058859834458
79,0.01234874023699697,0.0195390121818481
80,0.01229205814259301,0.01951366870617606
81,0.01226082366601439,0.01950346618801234
82,0.01221311212802794,0.01947911678183359
83,0.01216117779232066,0.01947404493497104
84,0.0121094995740124,0.01945877902151878
85,0.01207838707495399,0.01945504694906834
86,0.01205310008634529,0.01944930664858113
87,0.01201446845125273,0.01943506150186952
88,0.01199858677209276,0.01942648745599803
89,0.01197829381547513,0.01941931742377466
90,0.0119513327010862,0.01940309302613052
91,0.01192663629076091,0.0193946740117951
92,0.011899818174244,0.01938185857433267
93,0.01185818786908089,0.01937473454627076
94,0.01180096156712022,0.01934670161032878
95,0.01177877166124139,0.01933534429108359
96,0.01175980927215637,0.01932802887759386
97,0.0117178622690318,0.01930582230678909
98,0.0116787220393888,0.01928720559768615
99,0.01165115549214471,0.01927917040673052
100,0.01162688737737042,0.01926543180904547
101,0.01159565720933358,0.01924834380565336
102,0.01157021844999765,0.01923164945205306
103,0.01155224974033657,0.01922387120515738
104,0.01153115673451401,0.01921352164779112
105,0.01150079532782721,0.01921186602834052
106,0.01148144086443487,0.01920418945975528
107,0.01147117476574385,0.01920186687550613
108,0.01143877672395951,0.01918773998884673
109,0.01140640536808874,0.01916497736234707
110,0.01137217740833295,0.01914256483903079
111,0.01134332578058874,0.01913991708053854
112,0.01130758174380473,0.01911736147461008
113,0.01129004911525797,0.01910637082795607
114,0.0112731612107137,0.01909861677648266
115,0.01126748611454291,0.01909678400745677
116,0.01124942529363069,0.01908508393585938
117,0.01123385245972812,0.01908732545771786
118,0.01122226370858677,0.01908494324267565
119,0.01120256560744745,0.01908501708615061
120,0.01119043990258061,0.01907953648893675
121,0.01118375942607752,0.01907889042597919
122,0.01115883646772661,0.01907029682455662
123,0.01113908315543359,0.01906833572938989
124,0.01108989631663219,0.01905690196855753
125,0.01108299582722637,0.01905920252028628
126,0.01106972736489677,0.01905725628929564
127,0.01105922604086125,0.01905448800153076
128,0.01100774774766808,0.0190229097576233
129,0.01099371069076337,0.01901760813505453
130,0.01098236410114803,0.01901693100615912
131,0.01097735623663774,0.01901529768275765
132,0.01097210879939654,0.01901190752555261
133,0.01096528409815242,0.01901160412680352
134,0.01094383753965607,0.01900075714448422
135,0.01091827449569277,0.01899393577966407
136,0.01090039124309007,0.01899086587119404
137,0.01088865799073617,0.01898927424412434
138,0.01087455240873831,0.01899243288824486
139,0.01084900528841722,0.01898830960139786
140,0.01084335995442865,0.01898846241951134
141,0.01083386416233761,0.01898772585888459
142,0.01082406303292877,0.01898425652721046
143,0.0108066860079422,0.01897743422569727
144,0.01079163239389822,0.01897051670497974
145,0.01078394820592096,0.01896912660427461
146,0.01077066505046803,0.01896528965817408
147,0.01075166555870563,0.01895724123556063
148,0.01073335465800675,0.01895834645935677
149,0.01072030782774549,0.01895808804091579
150,0.01070031621738282,0.0189515617567396
151,0.01069280763446305,0.01895020357545331
152,0.01067532450796686,0.01895292189325591
153,0.01065753916604753,0.01894787912662061
154,0.01063520810079129,0.01894518303774424
155,0.01062926031992133,0.01894342774207494
156,0.0106105499031796,0.01893829816438544
157,0.01059112984025585,0.01894071200602696
158,0.01058567980216422,0.0189397461772935
159,0.0105694469260485,0.01893137696528381
160,0.01055867655775178,0.01893122455588444
161,0.01054887971392599,0.01892615404314093
162,0.01054144881243282,0.01892424359610388
163,0.01052535059987383,0.01892054280155144
164,0.01051593929033622,0.01891752824953708
165,0.01050302074074083,0.01891606943084595
166,0.01049509546188125,0.01891193205743777
167,0.01048855249524004,0.01890913444423661
168,0.01047798337479872,0.01890888311544423
169,0.01047211961051102,0.01890742231979931
170,0.01044274584547032,0.01888751156830568
171,0.01043131441303056,0.01888160747812766
172,0.01042175434856165,0.01887785560764322
173,0.01041274346388607,0.0188785924790662
174,0.01040270662512181,0.0188763613945493
175,0.01038137567598971,0.01887312972801069
176,0.01037553018905112,0.0188719064806247
177,0.0103717240145114,0.01886960466488494
178,0.01036675264054636,0.01886881634677381
179,0.01035300649556747,0.01886107821924391
180,0.01034294070717985,0.01885983944775631
181,0.01033516861395163,0.01885503339697475
182,0.01032068904793687,0.01885112218656312
183,0.01030951447403755,0.0188514184924733
184,0.01030409795834687,0.01885145343817625
185,0.01029683424000916,0.0188523965586392
186,0.01027913890199188,0.0188425945324284
187,0.01025812452710902,0.01883243942689102
188,0.01024340716248347,0.01882802212203757
189,0.01022815392572596,0.01882901127783712
190,0.01022099849513555,0.01883657101477641
191,0.01020509758936693,0.01882998013317383
192,0.01019916392540623,0.018834556969783
193,0.01017113086848684,0.01881957264709756
194,0.01015507838385202,0.01881221327191465
195,0.0101468747115524,0.01881103149780573
196,0.01013845463404783,0.01881129392055904
197,0.01013515696025918,0.01881148107865757
198,0.01011574056946397,0.01880261312646841
199,0.01010282049976322,0.0187979493137075
200,0.01008913969438759,0.01878827169239855
