cross_bin,share_feature,outcome_col,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,share_q01,share_q50,share_q99,support_width_1_99,bootstrap_success,effect_per_1pp,effect_per_5pp,ci_low,ci_high,p_value,q_value,abs_effect_per_1pp,soc_bin,rate_bin,temp_bin,cross_label
5,share_05,y_cap_drop_h,98893,173,3.6364417704551957e-10,0.3134462654203637,0.0862991698191582,,0.0,0.0,0.00010636533959768738,0.00010636533959768738,5,1.246480463282167,6.232402316410836,0.21051526879374283,1.2736664539070515,0.0,0.0,1.246480463282167,1,1,5,s1_r1_t5
10,share_10,y_cap_drop_h,98893,173,1.6121543070104425e-09,0.3134462654203637,0.5235111211495947,,0.0,0.0,0.00017586594447493553,0.00017586594447493553,5,-0.9405125154168605,-4.702562577084303,-0.9754986407237627,-0.322543226997326,0.0,0.0,0.9405125154168605,1,2,5,s1_r2_t5
4,share_04,y_cap_drop_h,98893,173,6.412757850566349e-10,0.3134462654203637,0.18232914228512254,,0.0,0.0,0.0001087327813729645,0.0001087327813729645,5,-0.7172986911442587,-3.5864934557212935,-0.7853452889207226,-0.07519262968649111,0.0,0.0,0.7172986911442587,1,1,4,s1_r1_t4
2,share_02,y_cap_drop_h,98893,173,1.060640914190384e-09,0.3134462654203637,0.2366094990655595,,0.0,0.0,0.0001525331899756566,0.0001525331899756566,5,-0.5709814347992592,-2.8549071739962963,-0.9492818542107107,-0.31223948443449745,0.0,0.0,0.5709814347992592,1,1,2,s1_r1_t2
9,share_09,y_cap_drop_h,98893,173,2.2843787328277966e-09,0.3134462654203637,0.09568924132955936,,0.0,0.0,0.00016007463680580263,0.00016007463680580263,5,-0.438873922974228,-2.1943696148711402,-0.5843096254156499,-0.2143399774223016,0.0,0.0,0.438873922974228,1,2,4,s1_r2_t4
3,share_03,y_cap_drop_h,98893,173,1.0154357260913652e-09,0.3134462654203637,0.0973160132639539,,0.0,0.0,0.00011592697293963286,0.00011592697293963286,5,-0.34488676989340256,-1.7244338494670128,-0.7761101480635023,-0.10531441136345573,0.0,0.0,0.34488676989340256,1,1,3,s1_r1_t3
51,share_51,y_cap_drop_h,98893,173,1.2174620522007776e-09,0.3134462654203637,-0.004160092440478325,,0.0,0.0,0.0,0.0,5,0.14046235452826888,0.7023117726413445,0.04861874181482479,0.4267280207297844,0.0,0.0,0.14046235452826888,3,3,1,s3_r3_t1
8,share_08,y_cap_drop_h,98893,173,1.8521314537178318e-08,0.3134462654203637,0.009205571674499202,,0.0,0.0,0.00017155178706161693,0.00017155178706161693,5,0.05690492248406911,0.28452461242034555,0.028178628739197277,0.0571779705659003,0.0,0.0,0.05690492248406911,1,2,3,s1_r2_t3
7,share_07,y_cap_drop_h,98893,173,3.638329999494228e-06,0.3134462654203637,0.0019051582955795787,,0.0,0.0,0.00020023527031298727,0.00020023527031298727,5,0.013629790138001092,0.06814895069000547,0.005946321651482339,0.025061548774427737,0.0,0.0,0.013629790138001092,1,2,2,s1_r2_t2
54,share_54,y_cap_drop_h,98893,173,2.858473893574535e-06,0.3134462654203637,-0.005928575268795422,,0.0,0.0,0.005185450986027844,0.005185450986027844,5,0.007989825560289363,0.03994912780144682,0.0003806481747489973,0.010405028016997175,0.0,0.0,0.007989825560289363,3,3,4,s3_r3_t4
55,share_55,y_cap_drop_h,98893,173,8.23666228254045e-07,0.3134462654203637,-0.0013401966868911153,,0.0,0.0,0.0,0.0,5,0.004521774226047826,0.02260887113023913,0.0020449694227987064,0.01506628252731949,0.0,0.0,0.004521774226047826,3,3,5,s3_r3_t5
17,share_17,y_cap_drop_h,98893,173,0.0001348391505188725,0.3134462654203637,0.16213740444566427,,0.0,0.0,0.045369990170001984,0.045369990170001984,5,0.004344196853606494,0.02172098426803247,0.003335174798232178,0.004620916492840492,0.0,0.0,0.004344196853606494,1,4,2,s1_r4_t2
13,share_13,y_cap_drop_h,98893,173,0.00010249829769554441,0.3134462654203637,0.07788361950072564,,0.0,0.0,0.05252561315894127,0.05252561315894127,5,-0.0035722524957007367,-0.017861262478503684,-0.004168848472647932,-0.0017749774740296394,0.0,0.0,0.0035722524957007367,1,3,3,s1_r3_t3
16,share_16,y_cap_drop_h,98893,173,5.294700473456083e-05,0.3134462654203637,0.1402175577748218,,0.0,0.0,0.03859513282775879,0.03859513282775879,5,0.0035635702576244143,0.017817851288122074,0.0031328108338296253,0.005319985259521494,0.0,0.0,0.0035635702576244143,1,4,1,s1_r4_t1
12,share_12,y_cap_drop_h,98893,173,8.882320129600584e-05,0.3134462654203637,0.22347263880075885,,0.0,0.0,0.05441289395093918,0.05441289395093918,5,-0.0032611484113394037,-0.016305742056697017,-0.005319883112067931,-0.0028395263079849095,0.0,0.0,0.0032611484113394037,1,3,2,s1_r3_t2
15,share_15,y_cap_drop_h,98893,173,0.0001241260127364898,0.3134462654203637,0.16347501554760857,,0.0,0.0,0.052525561302900314,0.052525561302900314,5,-0.002930405331667855,-0.014652026658339277,-0.0035973892162680862,-0.0021721131442582805,0.0,0.0,0.002930405331667855,1,3,5,s1_r3_t5
18,share_18,y_cap_drop_h,98893,173,0.00019946800753089963,0.3134462654203637,0.15626624288610635,,0.0,0.0,0.05224660038948059,0.05224660038948059,5,0.0021276663036104725,0.010638331518052364,0.0014664485450025402,0.0024417016282021055,0.0,0.0,0.0021276663036104725,1,4,3,s1_r4_t3
23,share_23,y_cap_drop_h,98893,173,2.5918304427860272e-05,0.3134462654203637,-0.006090661002997155,,0.0,0.0,0.003615851979702711,0.003615851979702711,5,0.0019691921080266647,0.009845960540133324,0.0018710982655603266,0.004440020160183824,0.0,0.0,0.0019691921080266647,2,1,3,s2_r1_t3
25,share_25,y_cap_drop_h,98893,173,1.8302010279367667e-05,0.3134462654203637,-0.028684779750894895,,0.0,0.0,0.002007070481777191,0.002007070481777191,5,-0.001753853149774018,-0.00876926574887009,-0.002396292798318089,-0.0011370761806663487,0.0,0.0,0.001753853149774018,2,1,5,s2_r1_t5
14,share_14,y_cap_drop_h,98893,173,7.880608354112938e-05,0.3134462654203637,0.060030425334049786,,0.0,0.0,0.04990418255329132,0.04990418255329132,5,-0.0017329653622558346,-0.008664826811279175,-0.00222112541294783,-0.0011190927643113233,0.0,0.0,0.0017329653622558346,1,3,4,s1_r3_t4
30,share_30,y_cap_drop_h,98893,173,0.0010760535637679817,0.3134462654203637,0.6148677422358426,,0.0,0.0,0.1710815131664276,0.1710815131664276,5,-0.001725707087693538,-0.00862853543846769,-0.0018941225533912764,-0.00124791270034813,0.0,0.0,0.001725707087693538,2,2,5,s2_r2_t5
36,share_36,y_cap_drop_h,98893,173,0.0004402869904822347,0.3134462654203637,0.052613621608246786,,0.0,0.0,0.13449381291866302,0.13449381291866302,5,0.0015528655440948322,0.007764327720474161,0.0012212874668170687,0.0024349973108849445,0.0,0.0,0.0015528655440948322,2,4,1,s2_r4_t1
37,share_37,y_cap_drop_h,98893,173,0.0008377894064313968,0.3134462654203637,0.16920974777041586,,0.0,0.0,0.13427955090999608,0.13427955090999608,5,0.0015513587698252505,0.0077567938491262525,0.0009706474198915785,0.0023656313169858763,0.0,0.0,0.0015513587698252505,2,4,2,s2_r4_t2
38,share_38,y_cap_drop_h,98893,173,0.0026732383066184998,0.3134462654203637,0.1683114665333454,,0.0,0.0,0.25587227940559387,0.25587227940559387,5,0.0011593222977219304,0.005796611488609652,0.0011411293555035175,0.0016602102504987757,0.0,0.0,0.0011593222977219304,2,4,3,s2_r4_t3
