cross_bin,cross_label,soc_bin,rate_bin,temp_bin,cap_effect_per_1pp,cap_ci_low,cap_ci_high,cap_p_value,cap_q_value,cap_n_rows,cap_n_groups,cap_support_width_1_99,ir_effect_per_1pp,ir_ci_low,ir_ci_high,ir_p_value,ir_q_value,ir_n_rows,ir_n_groups,ir_support_width_1_99,risk_category,max_abs_effect_per_1pp
39,s2_r4_t4,2,4,4,0.0005774597115968782,0.0001041503373531667,0.0007561838779758467,0.0,0.0,98893,173,0.2437656968832016,0.00018520240968551192,-0.000302502651138868,0.00021618591140827012,0.8,0.8,98893,173,0.2437656968832016,cap_dominant_risk,0.0005774597115968782
26,s2_r2_t1,2,2,1,0.0004372966238309411,0.00019039007249167632,0.001005237866072416,0.0,0.0,98893,173,0.1482391357421875,5.0048027645513184e-05,-0.00016032308615964694,0.0006630183999962491,0.4,0.5,98893,173,0.1482391357421875,cap_dominant_risk,0.0004372966238309411
41,s3_r1_t1,3,1,1,0.0002721731354362174,0.00011016560325177159,0.0004273908122786995,0.0,0.0,98893,173,0.4626416862010956,0.00015944870364657788,-1.2382040917202096e-05,0.000385012699378415,0.8,0.8,98893,173,0.4626416862010956,cap_dominant_risk,0.0002721731354362174
5,s1_r1_t5,1,1,5,1.246480463282167,0.21051526879374283,1.2736664539070515,0.0,0.0,98893,173,0.00010636533959768738,3.7875066331954965,2.8564002348607036,4.171601532316524,0.0,0.0,98893,173,0.00010636533959768738,dual_risk,3.7875066331954965
51,s3_r3_t1,3,3,1,0.14046235452826888,0.04861874181482479,0.4267280207297844,0.0,0.0,98893,173,0.0,0.26531505576858255,0.18082066361191898,0.4503299483682798,0.0,0.0,98893,173,0.0,dual_risk,0.26531505576858255
8,s1_r2_t3,1,2,3,0.05690492248406911,0.028178628739197277,0.0571779705659003,0.0,0.0,98893,173,0.00017155178706161693,0.09037682620577928,0.0470930833027088,0.14499846732559443,0.0,0.0,98893,173,0.00017155178706161693,dual_risk,0.09037682620577928
7,s1_r2_t2,1,2,2,0.013629790138001092,0.005946321651482339,0.025061548774427737,0.0,0.0,98893,173,0.00020023527031298727,0.02498902498634088,0.0031000769763717003,0.027538751991079826,0.0,0.0,98893,173,0.00020023527031298727,dual_risk,0.02498902498634088
55,s3_r3_t5,3,3,5,0.004521774226047826,0.0020449694227987064,0.01506628252731949,0.0,0.0,98893,173,0.0,0.010172360555532235,0.009406692568350293,0.023396621054923097,0.0,0.0,98893,173,0.0,dual_risk,0.010172360555532235
54,s3_r3_t4,3,3,4,0.007989825560289363,0.0003806481747489973,0.010405028016997175,0.0,0.0,98893,173,0.005185450986027844,0.00968337876425871,0.0008907699946762458,0.0162173284743789,0.0,0.0,98893,173,0.005185450986027844,dual_risk,0.00968337876425871
16,s1_r4_t1,1,4,1,0.0035635702576244143,0.0031328108338296253,0.005319985259521494,0.0,0.0,98893,173,0.03859513282775879,0.004386184534558647,0.0030156845695027495,0.0062672304535960266,0.0,0.0,98893,173,0.03859513282775879,dual_risk,0.004386184534558647
