cross_bin,share_feature,outcome_col,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,share_q01,share_q50,share_q99,support_width_1_99,bootstrap_success,effect_per_1pp,effect_per_5pp,ci_low,ci_high,p_value,q_value,abs_effect_per_1pp,soc_bin,rate_bin,temp_bin,cross_label
5,share_05,y_ir_rise_h,98893,173,3.6364417704551957e-10,0.20990618503757896,0.0862991698191582,,0.0,0.0,0.00010636533959768738,0.00010636533959768738,5,3.7875066331954965,18.93753316597748,2.8564002348607036,4.171601532316524,0.0,0.0,3.7875066331954965,1,1,5,s1_r1_t5
10,share_10,y_ir_rise_h,98893,173,1.6121543070104425e-09,0.20990618503757896,0.5235111211495947,,0.0,0.0,0.00017586594447493553,0.00017586594447493553,5,-0.8461329021380433,-4.230664510690216,-1.1394807718119067,-0.20452609223217505,0.0,0.0,0.8461329021380433,1,2,5,s1_r2_t5
2,share_02,y_ir_rise_h,98893,173,1.060640914190384e-09,0.20990618503757896,0.2366094990655595,,0.0,0.0,0.0001525331899756566,0.0001525331899756566,5,-0.7064794190621766,-3.5323970953108828,-1.0942634281986687,-0.5091682021225615,0.0,0.0,0.7064794190621766,1,1,2,s1_r1_t2
9,share_09,y_ir_rise_h,98893,173,2.2843787328277966e-09,0.20990618503757896,0.09568924132955936,,0.0,0.0,0.00016007463680580263,0.00016007463680580263,5,-0.6358187503903228,-3.179093751951614,-0.6954537557640483,-0.3492167313575671,0.0,0.0,0.6358187503903228,1,2,4,s1_r2_t4
51,share_51,y_ir_rise_h,98893,173,1.2174620522007776e-09,0.20990618503757896,-0.004160092440478325,,0.0,0.0,0.0,0.0,5,0.26531505576858255,1.3265752788429128,0.18082066361191898,0.4503299483682798,0.0,0.0,0.26531505576858255,3,3,1,s3_r3_t1
8,share_08,y_ir_rise_h,98893,173,1.8521314537178318e-08,0.20990618503757896,0.009205571674499202,,0.0,0.0,0.00017155178706161693,0.00017155178706161693,5,0.09037682620577928,0.45188413102889635,0.0470930833027088,0.14499846732559443,0.0,0.0,0.09037682620577928,1,2,3,s1_r2_t3
7,share_07,y_ir_rise_h,98893,173,3.638329999494228e-06,0.20990618503757896,0.0019051582955795787,,0.0,0.0,0.00020023527031298727,0.00020023527031298727,5,0.02498902498634088,0.1249451249317044,0.0031000769763717003,0.027538751991079826,0.0,0.0,0.02498902498634088,1,2,2,s1_r2_t2
55,share_55,y_ir_rise_h,98893,173,8.23666228254045e-07,0.20990618503757896,-0.0013401966868911153,,0.0,0.0,0.0,0.0,5,0.010172360555532235,0.05086180277766117,0.009406692568350293,0.023396621054923097,0.0,0.0,0.010172360555532235,3,3,5,s3_r3_t5
54,share_54,y_ir_rise_h,98893,173,2.858473893574535e-06,0.20990618503757896,-0.005928575268795422,,0.0,0.0,0.005185450986027844,0.005185450986027844,5,0.00968337876425871,0.04841689382129355,0.0008907699946762458,0.0162173284743789,0.0,0.0,0.00968337876425871,3,3,4,s3_r3_t4
16,share_16,y_ir_rise_h,98893,173,5.294700473456083e-05,0.20990618503757896,0.1402175577748218,,0.0,0.0,0.03859513282775879,0.03859513282775879,5,0.004386184534558647,0.021930922672793233,0.0030156845695027495,0.0062672304535960266,0.0,0.0,0.004386184534558647,1,4,1,s1_r4_t1
