series,monotonic_violation_count,monotonic_violation_rate,max_positive_jump,mean_positive_jump,total_positive_jump,curve_has_violation_rate,curve_count
true_retention,2931,0.23831205789088544,0.01302891969680775,0.0004364018837204156,1.279093921184538,0.8924302788844621,251
direct_retention,5625,0.4573542564436133,0.02074551582336437,0.0015505000008477102,8.72156250476837,1.0,251
deployable_bridge,6067,0.49329213757216034,0.05883967876434326,0.006242317453490975,37.87213999032974,1.0,251
linear_last10,1372,0.11155378486055777,0.0002254247665408604,8.04953776712667e-05,0.11043965816497792,0.11155378486055777,251
persistence,0,0.0,0.0,0.0,0.0,0.0,251
oracle_bridge,6071,0.4936173672656314,0.059111297130584606,0.005908250906895107,35.86899125576019,1.0,251
