monotonic_violation_count,monotonic_violation_rate,max_positive_jump,mean_positive_jump,total_positive_jump,curve_has_violation,series,method,block_id,policy,cell_code,input_start_cycle,input_end_cycle
0,0.0,0.0,0.0,0.0,0,true_retention,true_retention,594,3_7C_31PER_5_9C_NEWSTRUCTURE,737229,301,400
5,0.10204081632653061,0.00041878223419189453,0.00023214817047119142,0.001160740852355957,1,true_retention,true_retention,595,3_7C_31PER_5_9C_NEWSTRUCTURE,737229,451,550
14,0.2857142857142857,6.437301635719983e-05,2.445493425640155e-05,0.0003423690795896217,1,true_retention,true_retention,596,4C-80PER_4C,464865,2,101
19,0.3877551020408163,0.00013864040374744757,5.727692654257742e-05,0.001088261604308971,1,true_retention,true_retention,597,4C-80PER_4C,464865,152,251
18,0.3673469387755102,0.00023853778839100226,9.056263499787918e-05,0.0016301274299618251,1,true_retention,true_retention,598,4C-80PER_4C,464865,302,401
15,0.30612244897959184,0.00037783384323120117,0.00010203917821249113,0.0015305876731873669,1,true_retention,true_retention,599,4C-80PER_4C,464865,452,551
21,0.42857142857142855,0.0008715987205506481,0.0002575346401759609,0.005408227443695179,1,true_retention,true_retention,600,4C-80PER_4C,464865,602,701
23,0.46938775510204084,0.01302891969680775,0.0009397138719973453,0.021613419055938943,1,true_retention,true_retention,601,4C-80PER_4C,464865,752,851
20,0.40816326530612246,0.0012412071228027344,0.00039904415607450725,0.007980883121490145,1,true_retention,true_retention,602,4C-80PER_4C,464865,902,1001
21,0.42857142857142855,0.0008291006088257946,0.0002932917504083754,0.0061591267585758835,1,true_retention,true_retention,603,4C-80PER_4C,464865,1052,1151
22,0.4489795918367347,0.004644513130187988,0.001258806748823676,0.02769374847412087,1,true_retention,true_retention,604,4_65C_44PER_5C,737292,1,100
23,0.46938775510204084,0.0023373961448669434,0.0009163177531698573,0.021075308322906716,1,true_retention,true_retention,605,4_65C_44PER_5C,737292,151,250
14,0.2857142857142857,0.005144596099853405,0.0014986353261130434,0.02098089456558261,1,true_retention,true_retention,606,4_65C_44PER_5C,737292,301,400
