method,epoch,train_loss,valid_loss,valid_mse,valid_monotonic_violation_rate,valid_H50_RMSE
monotonic_lstm_penalty,1,1.691145890637448,1.223618507385254,0.0016521011712029576,0.5091470851288723,0.05071326693580087
monotonic_lstm_penalty,2,1.1470385021285008,0.890387773513794,0.0012910783989354968,0.5010976502154647,0.04257083096599968
monotonic_lstm_penalty,3,0.8608753445901369,0.7162624001502991,0.0010698889382183552,0.49890234978453535,0.03833135767623132
monotonic_lstm_penalty,4,0.6826658648879904,0.6063233613967896,0.0009245771216228604,0.49451174892267663,0.03585710039944789
monotonic_lstm_penalty,5,0.5738589606787029,0.5221019387245178,0.0008041519322432578,0.4877632327831531,0.03362004989329641
monotonic_lstm_penalty,6,0.47583302777064473,0.4504309594631195,0.0006983630009926856,0.4867875437027401,0.031302408688206454
monotonic_lstm_penalty,7,0.45460904664114904,0.39300471544265747,0.0006137695163488388,0.4863810065859013,0.029135757957644597
monotonic_lstm_penalty,8,0.36951898587377446,0.3404543101787567,0.0005332644213922322,0.48662492885600456,0.02719143145197002
monotonic_lstm_penalty,9,0.31346327301703003,0.31508395075798035,0.0004966702545061707,0.4834539393446622,0.02631077907469856
monotonic_lstm_penalty,10,0.2738144719286969,0.2808535099029541,0.00044456441537477076,0.4808521017968941,0.024500677998894584
monotonic_lstm_penalty,11,0.23799100361372294,0.2765727937221527,0.0004411995760165155,0.47418489308073825,0.02485576023918
monotonic_lstm_penalty,12,0.21239106945301356,0.24440179765224457,0.0003892478416673839,0.4734531262704285,0.023032199980767967
monotonic_lstm_penalty,13,0.19287267915512385,0.2302655428647995,0.0003681872331071645,0.47459143019757705,0.022325032356330744
monotonic_lstm_penalty,14,0.18090849957968058,0.22915643453598022,0.00036988069768995047,0.47979510529311326,0.02238091742079699
monotonic_lstm_penalty,15,0.16448788540927986,0.23105882108211517,0.00037472794065251946,0.47320920400032523,0.02291848930131921
monotonic_lstm_penalty,16,0.1439731242625337,0.21368439495563507,0.00034763116855174303,0.474266200504106,0.02148836066908727
monotonic_lstm_penalty,17,0.13366206598125005,0.21191418170928955,0.0003460780717432499,0.4751605821611513,0.021950868605886038
monotonic_lstm_penalty,18,0.1249142812663003,0.21146799623966217,0.0003472059906926006,0.4718269778030734,0.021804700430934642
monotonic_lstm_penalty,19,0.11608882836605373,0.2006613165140152,0.0003299612726550549,0.47670542320513865,0.02142813481897467
monotonic_lstm_penalty,20,0.10792181170300434,0.20425355434417725,0.00033712908043526113,0.4693064476786731,0.02153801376415643
monotonic_lstm_penalty,21,0.10571685531421711,0.19501137733459473,0.00032276276033371687,0.473615741117164,0.021051828739495095
monotonic_lstm_penalty,22,0.10356270325811286,0.20541374385356903,0.0003410299541428685,0.47036344418245385,0.021317574641854766
monotonic_lstm_penalty,23,0.09799724670225068,0.20555450022220612,0.0003419207059778273,0.4789820310594357,0.021337910698151084
monotonic_lstm_penalty,24,0.08496373931044027,0.19742152094841003,0.00032876330078579485,0.4675989917879502,0.020451017192505742
monotonic_lstm_penalty,25,0.08363935263141205,0.20077800750732422,0.0003349750186316669,0.4754045044312546,0.021002656037720748
monotonic_lstm_penalty,26,0.0817519910633564,0.18763892352581024,0.0003137417370453477,0.4610130904951622,0.02070431270592185
monotonic_lstm_penalty,27,0.0885751890508752,0.1904425323009491,0.0003191887808497995,0.4658915358972274,0.020748829603620966
monotonic_lstm_penalty,28,0.08120566273206159,0.19298134744167328,0.00032395648304373026,0.4611757053418977,0.02028698545510766
monotonic_lstm_penalty,29,0.08431884215066307,0.1793186515569687,0.0003010881191585213,0.4667859175542727,0.019664676356889614
monotonic_lstm_penalty,30,0.07792887385738523,0.17958654463291168,0.00030206842347979546,0.4600374014147492,0.01981113908732258
monotonic_lstm_penalty,31,0.07798453910570395,0.17844191193580627,0.0003005799953825772,0.4582486381006586,0.020012344550996226
monotonic_lstm_penalty,32,0.06656541920414097,0.17672377824783325,0.00029799502226524055,0.4584112529473941,0.019760470453212615
monotonic_lstm_penalty,33,0.07421634208999182,0.1729298084974289,0.00029186284518800676,0.45410195950890314,0.019581918139732916
monotonic_lstm_penalty,34,0.0625216182517378,0.16856059432029724,0.000284634530544281,0.4506870477274575,0.0190313758723384
monotonic_lstm_penalty,35,0.06608002534822414,0.183309406042099,0.0003099525929428637,0.44832913244979267,0.020459467381043064
monotonic_lstm_penalty,36,0.06291334585923898,0.1729746162891388,0.0002928264730144292,0.4437759167411985,0.02000394061440382
monotonic_lstm_penalty,37,0.0520502317108606,0.175979882478714,0.00029810224077664316,0.44361330189446296,0.020261634073117818
monotonic_lstm_penalty,38,0.05371971448001109,0.16335396468639374,0.00027672661235556006,0.43719001544841046,0.019312389278977733
monotonic_lstm_penalty,39,0.052037005263723825,0.16474679112434387,0.0002792082668747753,0.4306041141556224,0.019551913352127463
monotonic_lstm_penalty,40,0.058866114012504876,0.17937445640563965,0.00030430583865381777,0.42450605740304087,0.020675162604219168
monotonic_lstm_penalty,41,0.05352890726767088,0.16983206570148468,0.00028820164152421057,0.4301162696154159,0.01993210543907462
monotonic_lstm_penalty,42,0.047987377271056175,0.1786881983280182,0.00030333749600686133,0.4236116757459956,0.020831893815283702
monotonic_lstm_penalty,43,0.0504057436789337,0.1726774275302887,0.0002931905910372734,0.42044068623465325,0.020267522225973052
monotonic_lstm_penalty,44,0.05562820927681107,0.165369912981987,0.0002808515273500234,0.42231075697211157,0.019539448557455038
monotonic_lstm_penalty,45,0.05581661568660485,0.17900335788726807,0.00030416910885833204,0.41572485567932355,0.020586446338256445
monotonic_lstm_penalty,46,0.04399979134139262,0.17745473980903625,0.0003016360569745302,0.4176762338401496,0.02048140125072209
monotonic_lstm_penalty,47,0.04630269296467304,0.18414834141731262,0.00031310576014220715,0.4254004390600862,0.021189297279151573
monotonic_lstm_penalty,48,0.04321691619330331,0.17814870178699493,0.00030296953627839684,0.4137734775184974,0.020648933743061038
monotonic_lstm_penalty,49,0.044617342076411375,0.18411126732826233,0.00031318137189373374,0.4109277177006261,0.02111970611528987
monotonic_lstm_penalty,50,0.03786930652629388,0.1848602592945099,0.0003145136288367212,0.4121473290511424,0.02112320955435157
monotonic_lstm_penalty,51,0.04411592010996843,0.1934703290462494,0.00032926976564340293,0.40913895438653547,0.02173999875304999
monotonic_lstm_penalty,52,0.04198370903338257,0.18769963085651398,0.0003194989403709769,0.3866167981136678,0.021479881322004863
monotonic_lstm_penalty,53,0.04289939480000421,0.1740122139453888,0.0002961598802357912,0.3919830880559395,0.02057989653789266
monotonic_lstm_penalty,54,0.04010449021466469,0.17770017683506012,0.00030249051633290946,0.3940970810635011,0.02069358778743255
monotonic_lstm_penalty,55,0.04048751652436821,0.175679013133049,0.0002990931970998645,0.38474672737620946,0.020518077730809263
monotonic_lstm_penalty,56,0.03965425408004146,0.17253831028938293,0.0002937797107733786,0.390844784128791,0.020369568385544448
monotonic_lstm_penalty,57,0.03860596694836491,0.17456620931625366,0.0002972839865833521,0.36986746889991057,0.020610168323563986
monotonic_lstm_penalty,58,0.037832061515042655,0.16008266806602478,0.00027266773395240307,0.38263273436864786,0.019491935870418798
monotonic_lstm_penalty,59,0.04242433784039397,0.16303987801074982,0.00027775613125413656,0.3830392714854866,0.01967997951292973
monotonic_lstm_penalty,60,0.03561832177403726,0.1627921164035797,0.00027735743788070977,0.36547686803805185,0.019619011692009837
monotonic_lstm_penalty,61,0.039707365690877565,0.17447452247142792,0.0002972728980239481,0.3686478575493943,0.02034538277275778
monotonic_lstm_penalty,62,0.036888080551043936,0.16815271973609924,0.0002865158603526652,0.362468493373445,0.020074844766708948
monotonic_lstm_penalty,63,0.040455169485587826,0.16839459538459778,0.0002869423187803477,0.3627124156435483,0.020120484800620175
monotonic_lstm_penalty,64,0.03946491938672567,0.17038938403129578,0.00029036824707873166,0.35604520692739244,0.020339420004250385
monotonic_lstm_penalty,65,0.034992274338085404,0.1744946837425232,0.0002973855589516461,0.3575900479713798,0.02063273070863833
monotonic_lstm_penalty,66,0.03527990777633692,0.19797059893608093,0.00033746095141395926,0.3416537929913001,0.022082850857830426
monotonic_lstm_penalty,67,0.039732259159025396,0.16521376371383667,0.00028160098008811474,0.3435238637287584,0.01991729432527518
monotonic_lstm_penalty,68,0.035652024720452334,0.16890056431293488,0.0002879064413718879,0.34823969428408813,0.020232007462442973
monotonic_lstm_penalty,69,0.03341098159159485,0.16973434388637543,0.0002893413184210658,0.3372631921294414,0.02035294653263521
monotonic_lstm_penalty,70,0.03499613016059524,0.1588582992553711,0.0002708288375288248,0.3371005772827059,0.019522459651838336
monotonic_lstm_penalty,71,0.0363081730902195,0.16354304552078247,0.0002788331767078489,0.31555411009025125,0.01992515755554765
monotonic_lstm_penalty,72,0.03860911668131226,0.16979950666427612,0.0002895026991609484,0.3305959834132856,0.020200784387562662
monotonic_lstm_penalty,73,0.035354404661216234,0.1667833924293518,0.0002843557158485055,0.33018944629644686,0.020015975951333188
monotonic_lstm_penalty,74,0.04020079637044355,0.16331854462623596,0.00027847097953781486,0.32002601837547767,0.019887408578113202
monotonic_lstm_penalty,75,0.03034178834212454,0.1611747294664383,0.0002748271799646318,0.31986340352874215,0.019619213957246508
monotonic_lstm_penalty,76,0.03066334304840941,0.1628095805644989,0.00027762330137193203,0.3192942515651679,0.019747107532753553
monotonic_lstm_penalty,77,0.03465694767471991,0.16531862318515778,0.00028190240846015513,0.3144158061631027,0.020022131927749532
monotonic_lstm_penalty,78,0.037368293655546087,0.16467435657978058,0.00028081549680791795,0.293194568664119,0.019955856337336694
monotonic_lstm_penalty,79,0.032851209373850575,0.16372957825660706,0.0002792102168314159,0.3057972192861208,0.01988866785972084
monotonic_lstm_penalty,80,0.02917057491446796,0.16675834357738495,0.0002843824913725257,0.29758516952597774,0.020024409658074414
monotonic_lstm_delta_strict,1,0.08459548300475274,0.05108707398176193,8.714236173545942e-05,0.0,0.01675330863456242
monotonic_lstm_delta_strict,2,0.08697194262946907,0.04359050840139389,7.435354928020388e-05,0.0,0.015569377780181004
monotonic_lstm_delta_strict,3,0.062053373230523186,0.034308239817619324,5.851556488778442e-05,0.0,0.013811679766033121
monotonic_lstm_delta_strict,4,0.04887578577587479,0.02509557642042637,4.2796651541721076e-05,0.0,0.011871860997396916
monotonic_lstm_delta_strict,5,0.03383620301457612,0.020098280161619186,3.426721741561778e-05,0.0,0.010494155602178402
monotonic_lstm_delta_strict,6,0.04574801802243057,0.018064703792333603,3.0797571525909007e-05,0.0,0.009895922314053304
monotonic_lstm_delta_strict,7,0.02665751733768143,0.016810182482004166,2.865864007617347e-05,0.0,0.00950769205846539
monotonic_lstm_delta_strict,8,0.028569241078864587,0.016699712723493576,2.8471478799474426e-05,0.0,0.009496585268257973
monotonic_lstm_delta_strict,9,0.024109715730638095,0.01693863980472088,2.8879232559120283e-05,0.0,0.009562517374818622
monotonic_lstm_delta_strict,10,0.02737978252729303,0.01709173060953617,2.9140890546841547e-05,0.0,0.009614001186411245
monotonic_lstm_delta_strict,11,0.02552381048812286,0.01690436340868473,2.882399712689221e-05,0.0,0.009557048762731253
monotonic_lstm_delta_strict,12,0.025412184333330708,0.0167233906686306,2.851475255738478e-05,0.0,0.00955593326464525
monotonic_lstm_delta_strict,13,0.02952092083318061,0.01633485034108162,2.7853311621583998e-05,0.0,0.009441109057161801
monotonic_lstm_delta_strict,14,0.0246999333520714,0.01648406684398651,2.8109137929277495e-05,0.0,0.009453843607766
monotonic_lstm_delta_strict,15,0.025359653328594408,0.015173357911407948,2.5872543119476177e-05,0.0,0.009092580148982055
monotonic_lstm_delta_strict,16,0.023830741827719305,0.01566045731306076,2.670354297151789e-05,0.0,0.009224264274899332
monotonic_lstm_delta_strict,17,0.022045290465221593,0.01770726963877678,3.0196079023880884e-05,0.0,0.009795286974578363
monotonic_lstm_delta_strict,18,0.021670186205914144,0.017494456842541695,2.9833188818884082e-05,0.0,0.009718374154191405
monotonic_lstm_delta_strict,19,0.020296236438872784,0.017143486067652702,2.9234715839265846e-05,0.0,0.009626456800994948
monotonic_lstm_delta_strict,20,0.020076693256238575,0.017503736540675163,2.9847251425962895e-05,0.0,0.009725121374437425
monotonic_lstm_delta_strict,21,0.022519544330670646,0.016573766246438026,2.826358650054317e-05,0.0,0.009526379107732226
monotonic_lstm_delta_strict,22,0.021341621140508277,0.018039239570498466,3.076108259847388e-05,0.0,0.00989056422096737
monotonic_lstm_delta_strict,23,0.023015751478899466,0.016373950988054276,2.7923844754695892e-05,0.0,0.009435828131644316
monotonic_lstm_delta_strict,24,0.020771590337206266,0.016104457899928093,2.7462599973659962e-05,0.0,0.00930615630285862
monotonic_lstm_delta_strict,25,0.02167828008532524,0.01724521443247795,2.9409588023554534e-05,0.0,0.009648311136276585
monotonic_lstm_delta_strict,26,0.02079576782048925,0.016698120161890984,2.847481482604053e-05,0.0,0.009483171302090934
monotonic_lstm_delta_strict,27,0.019212258979678154,0.017036858946084976,2.9054021069896407e-05,0.0,0.00962807403577259
monotonic_lstm_delta_strict,28,0.02020110998694834,0.017317792400717735,2.9533479391830042e-05,0.0,0.009676111553891472
monotonic_lstm_delta_strict,29,0.019295836296422703,0.01759413443505764,3.0005006919964217e-05,0.0,0.009759139470350849
monotonic_lstm_delta_strict,30,0.02075016187307866,0.01701098494231701,2.9008824640186504e-05,0.0,0.009567124117606992
monotonic_lstm_delta_strict,31,0.0196321434188193,0.01812131516635418,3.090243262704462e-05,0.0,0.00985749001204238
monotonic_lstm_delta_strict,32,0.021738988972318015,0.01831020973622799,3.1226230930769816e-05,0.0,0.009943545608295608
monotonic_lstm_delta_strict,33,0.017969977245421,0.019561152905225754,3.3358381188008934e-05,0.0,0.010306109495679457
monotonic_lstm_delta_strict,34,0.01864347147363189,0.01941762864589691,3.311472028144635e-05,0.0,0.010272140888473382
monotonic_lstm_delta_strict,35,0.019569067725617634,0.01959969848394394,3.342533091199584e-05,0.0,0.010321392113736482
monotonic_lstm_delta_with_history_retention,1,0.08715523651948101,0.05016089230775833,8.556270768167451e-05,0.0,0.016668489531467698
monotonic_lstm_delta_with_history_retention,2,0.07611026546280635,0.04227593541145325,7.211129559436813e-05,0.0,0.015394932640558138
monotonic_lstm_delta_with_history_retention,3,0.0745783751144221,0.0312926210463047,5.337272887118161e-05,0.0,0.013294623716103708
monotonic_lstm_delta_with_history_retention,4,0.04482211329435047,0.020336847752332687,3.468006616458297e-05,0.0,0.010730475439102848
monotonic_lstm_delta_with_history_retention,5,0.03681021245000394,0.01399272307753563,2.3857224732637405e-05,0.0,0.00890790949815307
monotonic_lstm_delta_with_history_retention,6,0.03270746311663013,0.013517227955162525,2.304707231814973e-05,0.0,0.008584026625555411
monotonic_lstm_delta_with_history_retention,7,0.028054532398910897,0.014238669537007809,2.42768983298447e-05,0.0,0.00862163676792809
monotonic_lstm_delta_with_history_retention,8,0.022208396976470555,0.013884925283491611,2.3671414965065196e-05,0.0,0.008480730705786222
monotonic_lstm_delta_with_history_retention,9,0.02993173669337442,0.013419076800346375,2.287830284330994e-05,0.0,0.008330586837715115
monotonic_lstm_delta_with_history_retention,10,0.024722336433019097,0.014441652223467827,2.462417796778027e-05,0.0,0.008659951712711177
monotonic_lstm_delta_with_history_retention,11,0.024410709672864822,0.013502008281648159,2.3018848878564313e-05,0.0,0.008310939051192737
monotonic_lstm_delta_with_history_retention,12,0.02634934111694364,0.015447608195245266,2.6340403564972803e-05,0.0,0.008904490372696016
monotonic_lstm_delta_with_history_retention,13,0.02548114622722527,0.015593125484883785,2.6589532353682443e-05,0.0,0.008967954974496024
monotonic_lstm_delta_with_history_retention,14,0.022017309773027113,0.014308431185781956,2.4397500965278596e-05,0.0,0.008562204950794365
monotonic_lstm_delta_with_history_retention,15,0.022392841423616597,0.013467204757034779,2.2962502043810673e-05,0.0,0.008286319796391554
monotonic_lstm_delta_with_history_retention,16,0.022982505790423602,0.014333738014101982,2.444196979922708e-05,0.0,0.008602616741579796
monotonic_lstm_delta_with_history_retention,17,0.020879317215937925,0.013286381959915161,2.2653735868516378e-05,0.0,0.008309034520895112
monotonic_lstm_delta_with_history_retention,18,0.02137417156298302,0.01227167621254921,2.092513386742212e-05,0.0,0.007888384313293995
monotonic_lstm_delta_with_history_retention,19,0.022741125528945735,0.012303073890507221,2.0977591702830978e-05,0.0,0.007891789288878837
monotonic_lstm_delta_with_history_retention,20,0.02068672779530875,0.01292031817138195,2.203029907832388e-05,0.0,0.008114567261549159
monotonic_lstm_delta_with_history_retention,21,0.019331040755404455,0.014358426444232464,2.4483379092998803e-05,0.0,0.008496945881594583
monotonic_lstm_delta_with_history_retention,22,0.021356650468844333,0.014456456527113914,2.4650111299706623e-05,0.0,0.008536883396119872
monotonic_lstm_delta_with_history_retention,23,0.021582609606220535,0.013725481927394867,2.3403510567732155e-05,0.0,0.008317812551494557
monotonic_lstm_delta_with_history_retention,24,0.018178677737810893,0.01230659056454897,2.098318509524688e-05,0.0,0.007922780777492923
monotonic_lstm_delta_with_history_retention,25,0.021152427628342258,0.01314772479236126,2.241889524157159e-05,0.0,0.008177438178016319
monotonic_lstm_delta_with_history_retention,26,0.021750201618200855,0.01324096042662859,2.257831147289835e-05,0.0,0.008162028286031877
monotonic_lstm_delta_with_history_retention,27,0.019312980033359246,0.014121253974735737,2.407891042821575e-05,0.0,0.008423893439173937
monotonic_lstm_delta_with_history_retention,28,0.0210938749277327,0.01605229638516903,2.7373698685551062e-05,0.0,0.009048702143233923
monotonic_lstm_delta_with_history_retention,29,0.01931642350054493,0.013771039433777332,2.3482136384700425e-05,0.0,0.008345967894625004
monotonic_lstm_delta_with_history_retention,30,0.027516154266011558,0.014348768629133701,2.4468894480378367e-05,0.0,0.008530158275118951
monotonic_lstm_delta_with_history_retention,31,0.019404261569051368,0.014319285750389099,2.4417857275693677e-05,0.0,0.008486556355704788
monotonic_lstm_delta_with_history_retention,32,0.01961575612719906,0.014305975288152695,2.439633863104973e-05,0.0,0.008541724478304834
monotonic_lstm_delta_with_history_retention,33,0.01931061349368017,0.01290606427937746,2.2007516236044466e-05,0.0,0.008081523006773526
monotonic_lstm_delta_with_history_retention,34,0.019398905738183345,0.013280992396175861,2.2647085643257014e-05,0.0,0.008199379522823055
monotonic_lstm_delta_with_history_retention,35,0.018682394066433374,0.014084639959037304,2.4019047486945055e-05,0.0,0.008442751888973797
monotonic_lstm_delta_with_history_retention,36,0.019401151607254224,0.014882298186421394,2.5379911676282063e-05,0.0,0.008742323736324617
monotonic_lstm_delta_with_history_retention,37,0.018325332435779274,0.0140010304749012,2.3875567421782762e-05,0.0,0.008421711503879438
monotonic_lstm_delta_with_history_retention,38,0.01771065888093098,0.013945497572422028,2.3781280106049962e-05,0.0,0.008419462366635854
