method,epoch,train_loss,valid_loss,valid_mse,valid_monotonic_violation_rate,valid_H50_RMSE
monotonic_lstm_penalty,1,1.691145890637448,1.223618507385254,0.0016521011712029,0.5091470851288723,0.0507132669358008
monotonic_lstm_penalty,2,1.1470385021285008,0.890387773513794,0.0012910783989354,0.5010976502154647,0.0425708309659996
monotonic_lstm_penalty,3,0.8608753445901369,0.7162624001502991,0.0010698889382183,0.4989023497845353,0.0383313576762313
monotonic_lstm_penalty,4,0.6826658648879904,0.6063233613967896,0.0009245771216228,0.4945117489226766,0.0358571003994478
monotonic_lstm_penalty,5,0.5738589606787029,0.5221019387245178,0.0008041519322432,0.4877632327831531,0.0336200498932964
monotonic_lstm_penalty,6,0.4758330277706447,0.4504309594631195,0.0006983630009926,0.4867875437027401,0.0313024086882064
monotonic_lstm_penalty,7,0.454609046641149,0.3930047154426574,0.0006137695163488,0.4863810065859013,0.0291357579576445
monotonic_lstm_penalty,8,0.3695189858737744,0.3404543101787567,0.0005332644213922,0.4866249288560045,0.02719143145197
monotonic_lstm_penalty,9,0.31346327301703,0.3150839507579803,0.0004966702545061,0.4834539393446622,0.0263107790746985
monotonic_lstm_penalty,10,0.2738144719286969,0.2808535099029541,0.0004445644153747,0.4808521017968941,0.0245006779988945
monotonic_lstm_penalty,11,0.2379910036137229,0.2765727937221527,0.0004411995760165,0.4741848930807382,0.02485576023918
monotonic_lstm_penalty,12,0.2123910694530135,0.2444017976522445,0.0003892478416673,0.4734531262704285,0.0230321999807679
monotonic_lstm_penalty,13,0.1928726791551238,0.2302655428647995,0.0003681872331071,0.474591430197577,0.0223250323563307
monotonic_lstm_penalty,14,0.1809084995796805,0.2291564345359802,0.0003698806976899,0.4797951052931132,0.0223809174207969
monotonic_lstm_penalty,15,0.1644878854092798,0.2310588210821151,0.0003747279406525,0.4732092040003252,0.0229184893013192
monotonic_lstm_penalty,16,0.1439731242625337,0.213684394955635,0.0003476311685517,0.474266200504106,0.0214883606690872
monotonic_lstm_penalty,17,0.13366206598125,0.2119141817092895,0.0003460780717432,0.4751605821611513,0.021950868605886
monotonic_lstm_penalty,18,0.1249142812663003,0.2114679962396621,0.0003472059906926,0.4718269778030734,0.0218047004309346
