n_rows,mse,rmse,mae,r2,stage,method,set_type,target,horizon,horizon_step,monotonic_violation_rate,curve_has_violation_rate
251,0.0001393945625453758,0.011806547443913306,0.007147648182523194,0.880700211752358,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H1,1,0.4573542564436133,1.0
251,0.00013209226561200466,0.011493139937023505,0.007208200089959983,0.8882128380267259,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H2,2,0.4573542564436133,1.0
251,0.0001403547913038287,0.011847142748520788,0.007345492621342038,0.8826877069163737,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H3,3,0.4573542564436133,1.0
251,0.00014001526590517983,0.011832804650850104,0.007260897482533847,0.8841111953154033,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H4,4,0.4573542564436133,1.0
251,0.00014057081699806796,0.011856256449574122,0.007164949202442547,0.8851941052163043,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H5,5,0.4573542564436133,1.0
251,0.00013823042200134897,0.011757143445639717,0.007189928060508823,0.8890279283481208,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H6,6,0.4573542564436133,1.0
251,0.00013553223063375428,0.011641831068768963,0.007248712250910916,0.8926116094520741,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H7,7,0.4573542564436133,1.0
251,0.00014421958529762196,0.012009145902087374,0.007372551705257835,0.8869860044367888,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H8,8,0.4573542564436133,1.0
251,0.00013118504870615245,0.011453604179739774,0.007231772895828169,0.8987036175933829,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H9,9,0.4573542564436133,1.0
251,0.00013521564753962237,0.011628226328190485,0.007326202326086886,0.8969335165071326,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H10,10,0.4573542564436133,1.0
251,0.00013654858709287747,0.011685400596166032,0.0072199733133810045,0.8976556574327997,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H11,11,0.4573542564436133,1.0
251,0.00013836864791280258,0.011763020356728224,0.007361059169845274,0.8976877539472621,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H12,12,0.4573542564436133,1.0
251,0.0001324366502298193,0.011508112366058098,0.007236393799344855,0.9033022829437756,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H13,13,0.4573542564436133,1.0
251,0.00012859812524675554,0.011340111341902933,0.007203434805471109,0.9069894830582326,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H14,14,0.4573542564436133,1.0
251,0.00013041751899241593,0.011420048992557604,0.007329444011369075,0.9073538083752701,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H15,15,0.4573542564436133,1.0
251,0.00014058908387891333,0.011857026772294702,0.007431690911372808,0.9012807563888297,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H16,16,0.4573542564436133,1.0
251,0.00014318888691164958,0.011966155895342898,0.007442766214271951,0.9008208575039107,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H17,17,0.4573542564436133,1.0
251,0.00013270674311974097,0.011519841280145354,0.0072886447507546715,0.9094823439540813,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H18,18,0.4573542564436133,1.0
251,0.00013797255463636333,0.011746171914132847,0.007448581585371168,0.9072405027576562,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H19,19,0.4573542564436133,1.0
