model_name,n_estimators,train_mse,valid_mse
F0_60cum_plus_policy,1,9.534311552653671e-05,0.0017559297458397262
F0_60cum_plus_policy,2,7.454760344383586e-05,0.0015242732382707823
F0_60cum_plus_policy,3,6.631405976810856e-05,0.0013610804264359096
F0_60cum_plus_policy,4,5.5239891735393634e-05,0.0012457874517906606
F0_60cum_plus_policy,5,4.7605434007710246e-05,0.0011747349784490765
F0_60cum_plus_policy,6,4.698823601295515e-05,0.0012009294010291661
F0_60cum_plus_policy,7,4.093553755137431e-05,0.0011767786187219641
F0_60cum_plus_policy,8,3.9512550545825045e-05,0.0011814253245763023
F0_60cum_plus_policy,9,3.92564687761679e-05,0.0011479025428723839
F0_60cum_plus_policy,10,3.683242289953094e-05,0.001111264634425275
F0_60cum_plus_policy,11,3.5841949837027036e-05,0.00105595492925823
F0_60cum_plus_policy,12,3.449249819941196e-05,0.0010369159697773966
F0_60cum_plus_policy,13,3.303954612552253e-05,0.0010186727829870053
F0_60cum_plus_policy,14,3.266205493576606e-05,0.0010558856734514325
F0_60cum_plus_policy,15,3.179469937808596e-05,0.0010559098510029216
F0_60cum_plus_policy,16,3.1931166570509335e-05,0.0010699373133370054
F0_60cum_plus_policy,17,3.162807702085592e-05,0.0010770333035248875
F0_60cum_plus_policy,18,3.16933482198086e-05,0.0010582752683396318
F0_60cum_plus_policy,19,3.207982972412648e-05,0.0010527014768216604
F0_60cum_plus_policy,20,3.351502626909853e-05,0.0010327445271921228
F0_60cum_plus_policy,21,3.400321370800604e-05,0.0010123835190322746
F0_60cum_plus_policy,22,3.398944139249123e-05,0.0010255181096343652
F0_60cum_plus_policy,23,3.4626934731661976e-05,0.0010107556175370956
F0_60cum_plus_policy,24,3.468266489817954e-05,0.0010257471990960697
F0_60cum_plus_policy,25,3.468742176870584e-05,0.0010228758219206241
F0_60cum_plus_policy,26,3.48650055073491e-05,0.0010237011462348403
F0_60cum_plus_policy,27,3.498702279805675e-05,0.0010164970343217628
F0_60cum_plus_policy,28,3.519874338359097e-05,0.0010166977382233685
F0_60cum_plus_policy,29,3.473465373770797e-05,0.0010173349469097656
F0_60cum_plus_policy,30,3.478024256399012e-05,0.0010180235207192842
F0_60cum_plus_policy,31,3.5518824147517376e-05,0.0010095020899564715
F0_60cum_plus_policy,32,3.5797889663216296e-05,0.0010238827117583997
F0_60cum_plus_policy,33,3.539588380842685e-05,0.0010249226969859743
F0_60cum_plus_policy,34,3.563660056603162e-05,0.0010314616653533393
F0_60cum_plus_policy,35,3.528039685483342e-05,0.0010282008871602786
F0_60cum_plus_policy,36,3.510860644611254e-05,0.0010211526381589233
F0_60cum_plus_policy,37,3.490762243640763e-05,0.0010179685518704993
F0_60cum_plus_policy,38,3.4916904634884745e-05,0.0010077260590959428
F0_60cum_plus_policy,39,3.4748445462959536e-05,0.001009552978353593
F0_60cum_plus_policy,40,3.463825785192674e-05,0.0010005788080412108
