feature_pack,stage,trial_id,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,bootstrap,max_samples,criterion,tune_train_r2,tune_valid_r2,tune_valid_mse,tune_train_rows,tune_valid_rows,trial_error
F0_60cum_plus_policy,B_refine,60,120,12,5,12,0.35,True,0.65,squared_error,0.9964042773453162,0.4216888138117434,0.0014765141445720327,15492.0,4826.0,
F0_60cum_plus_policy,A_coarse,10,160,14,2,4,0.25,True,0.65,friedman_mse,0.9979040593632297,0.3958716717126708,0.001339149759357043,15837.0,4481.0,
F0_60cum_plus_policy,A_coarse,1,240,18,2,4,sqrt,False,,squared_error,0.9983964473077453,0.39552536764186885,0.0015106568666145453,15506.0,4812.0,
F0_60cum_plus_policy,A_coarse,16,200,22,2,6,log2,False,,squared_error,0.9978495959622714,0.36906160107009744,0.0018017265715269877,16110.0,4208.0,
F0_60cum_plus_policy,A_coarse,36,160,22,4,6,sqrt,True,0.75,squared_error,0.9967608154163411,0.3643839706948807,0.001864134782196961,16570.0,3748.0,
F0_60cum_plus_policy,A_coarse,15,120,14,6,12,0.25,True,0.95,friedman_mse,0.9960050703778339,0.35703566173653145,0.0023565978563057036,16560.0,3758.0,
F0_60cum_plus_policy,A_coarse,21,240,22,4,8,log2,False,,friedman_mse,0.9977549358028182,0.3512355817102062,0.0014555562364115602,15541.0,4777.0,
F0_60cum_plus_policy,A_coarse,14,200,14,2,12,0.35,False,,friedman_mse,0.9973448195314834,0.27590417295476277,0.003096452530969279,17387.0,2931.0,
F0_60cum_plus_policy,A_coarse,28,240,14,3,6,0.35,False,,squared_error,0.9979205372471088,0.2505967699584907,0.0016359354153216035,15680.0,4638.0,
F0_60cum_plus_policy,B_refine,42,160,18,5,16,0.45,False,,squared_error,0.9973864058546689,0.23833307825774996,0.001998508579820042,15172.0,5146.0,
F0_60cum_plus_policy,B_refine,58,120,12,8,12,0.45,False,,friedman_mse,0.9962030068647226,0.23465552038161408,0.0026107685620960484,15999.0,4319.0,
F0_60cum_plus_policy,A_coarse,38,200,18,6,8,0.45,True,0.85,squared_error,0.9973503853873318,0.20008446218949283,0.0020689708415864397,16075.0,4243.0,
F0_60cum_plus_policy,A_coarse,3,200,14,6,12,0.45,False,,friedman_mse,0.9975885437280613,0.19390458182712922,0.0023184291398012395,16500.0,3818.0,
F0_60cum_plus_policy,A_coarse,6,160,14,4,4,sqrt,True,0.75,friedman_mse,0.9970778258377258,0.12895105974687904,0.002093116331743287,15956.0,4362.0,
F0_60cum_plus_policy,B_refine,43,100,14,8,14,sqrt,True,0.95,squared_error,0.9958261102434618,0.0945982851375271,0.0014107711526404915,15054.0,5264.0,
F0_60cum_plus_policy,A_coarse,11,120,26,4,8,0.25,True,0.65,squared_error,0.9973766587166063,0.08679926804881843,0.002715252763564942,16413.0,3905.0,
F0_60cum_plus_policy,A_coarse,22,240,18,3,12,0.35,False,,squared_error,0.9980106832793757,-0.06099303928491229,0.002074477339955028,15513.0,4805.0,
F0_60cum_plus_policy,A_coarse,25,160,22,4,6,0.35,False,,friedman_mse,0.9981512571670457,-0.06702806383453086,0.0028795438072611113,16024.0,4294.0,
F0_60cum_plus_policy,B_refine,54,180,18,7,12,0.45,True,0.85,friedman_mse,0.9971220473899524,-0.07787816138794246,0.001975479164423394,15664.0,4654.0,
F0_60cum_plus_policy,B_refine,56,180,12,5,14,0.55,False,,squared_error,0.9968225580910925,-0.1113143395814915,0.0035548396056520027,16776.0,3542.0,
F0_60cum_plus_policy,A_coarse,37,120,14,3,4,0.45,False,,squared_error,0.9975579599897366,-0.15791080872518926,0.002879737349729006,16321.0,3997.0,
F0_60cum_plus_policy,B_refine,59,100,14,7,12,0.35,False,,friedman_mse,0.9971863073295381,-0.19669036190652855,0.0036530588816891096,16519.0,3799.0,
F0_60cum_plus_policy,A_coarse,24,200,22,4,6,sqrt,False,,squared_error,0.9981785684441449,-0.21334161361704984,0.002251435280159584,14994.0,5324.0,
F0_60cum_plus_policy,A_coarse,2,120,26,2,8,0.45,True,0.85,squared_error,0.9978676619767571,-0.27333615695728364,0.003314668776974214,15977.0,4341.0,
F0_60cum_plus_policy,A_coarse,26,160,18,6,8,log2,True,0.65,squared_error,0.996305470377935,-0.46298572786772163,0.0025605706458661057,14975.0,5343.0,
F0_60cum_plus_policy,A_coarse,30,120,14,3,8,0.45,False,,squared_error,0.9976614202061748,-1.0770706704290856,0.004535296690794953,15105.0,5213.0,
F0_60cum_plus_policy,A_coarse,18,240,14,3,8,0.35,True,0.75,squared_error,0.9980890112412973,-1.5995467894656588,0.003362119525097846,14414.0,5904.0,
F1_F0_plus_cycles,B_refine,51,120,24,3,14,0.2,True,0.85,friedman_mse,0.9978800336677257,0.884739214539577,0.00035122759981764387,17033.0,3694.0,
F1_F0_plus_cycles,A_coarse,15,160,22,3,12,0.25,True,0.85,friedman_mse,0.9984895273286335,0.882275587725443,0.0004991809727267831,17383.0,3344.0,
F1_F0_plus_cycles,B_refine,45,100,20,5,16,0.25,True,0.99,friedman_mse,0.9978161127495235,0.8721256390895378,0.00038812824137693,16726.0,4001.0,
F1_F0_plus_cycles,A_coarse,26,200,14,4,12,0.25,True,0.75,squared_error,0.9976519749132775,0.8684359588676366,0.0003568905533484242,16856.0,3871.0,
F1_F0_plus_cycles,B_refine,54,220,24,2,10,0.35,False,,squared_error,0.9993832702079996,0.8469710441118452,0.0003238722461976804,16729.0,3998.0,
F1_F0_plus_cycles,B_refine,49,200,24,2,16,0.2,False,,squared_error,0.9984505804326042,0.846657626136093,0.0004766220704238336,16754.0,3973.0,
F1_F0_plus_cycles,A_coarse,33,120,18,2,6,log2,True,0.75,friedman_mse,0.9982867314273985,0.8285665874791165,0.0005492179119084321,16649.0,4078.0,
F1_F0_plus_cycles,B_refine,44,120,18,3,10,0.25,True,0.7,squared_error,0.9982831484101233,0.8256644512239326,0.00048704259935751113,16273.0,4454.0,
F1_F0_plus_cycles,A_coarse,4,240,22,3,6,0.35,True,0.65,friedman_mse,0.9984409130761339,0.8242863532279245,0.000633830475805847,17093.0,3634.0,
