scheme,group,group_label,effect_plus_1c,ci_low,ci_high,bootstrap_success,n_rows,n_clusters,scheme_display
fixed4,cycle_0_500,0-500,0.009639151208782873,0.007148833762200891,0.012587793072718631,400,72096,180,固定分段4段
fixed4,cycle_500_1000,500-1000,0.025763245365755277,0.020671565569870144,0.030378931717813393,400,24133,92,固定分段4段
fixed4,cycle_1000_1500,1000-1500,0.03365115742450088,0.005926508503844993,0.052755248853204324,400,3924,14,固定分段4段
fixed4,cycle_1500_max,1500-max,0.025366872652884606,-0.05364130324855648,0.050520246844455136,400,1496,5,固定分段4段
