t_eval,m_global,m_q1,m_q2,m_q3,m_q4,scheme
1.436680589255968,0.03978682406826442,0.015724009715389568,0.05431739197402717,0.0471604421403753,0.041946399350801876,quantile4
1.536680589255968,0.03999985600315163,0.01503727914489013,0.05585776671442967,0.047380601783210116,0.04172475868460315,quantile4
1.6366805892559682,0.039893378425653776,0.014748685251888797,0.056715217849633216,0.04695321548601845,0.041157384596151175,quantile4
1.7366805892559682,0.034175107845077206,0.01399425351197763,0.04989217019037411,0.03659431519043229,0.036220486634160144,quantile4
1.8366805892559683,0.033775794178284795,0.014684651465106826,0.04926935314507967,0.035649930320570025,0.035499993047245146,quantile4
1.9366805892559684,0.029734563414326187,0.013851897245265522,0.043865710153457034,0.030823611884578196,0.030397659380544957,quantile4
2.0366805892559685,0.02952339944126757,0.014604528494685961,0.042135247061546595,0.030668121072190017,0.030686288216412144,quantile4
2.1366805892559686,0.029469543853695674,0.015343887690824886,0.04038296109387866,0.03089525396269646,0.031256628532964945,quantile4
2.2366805892559687,0.029355182265437523,0.015688474749107565,0.038421939926136565,0.03128076761786716,0.03203008457391033,quantile4
2.3366805892559688,0.02923950561032389,0.015841822524988756,0.03681080887259676,0.03158798293800082,0.03271793532447109,quantile4
2.436680589255968,0.02896263774256621,0.01580425867538927,0.03523265424773066,0.031588300911979256,0.03322585493695654,quantile4
2.436680589255969,0.028962637742566195,0.01580425867538927,0.035232654247730644,0.031588300911979283,0.03322585493695654,quantile4
2.536680589255968,0.028454803294415777,0.015370825978857028,0.03364074067419101,0.0312602348918535,0.03354792650673321,quantile4
2.536680589255969,0.028454803294415777,0.01537082597885703,0.03364074067419098,0.0312602348918535,0.033547926506733224,quantile4
2.636680589255968,0.02808731176567171,0.015216312532794358,0.032827133444544486,0.030711386538478283,0.03359492103983548,quantile4
2.636680589255969,0.028087311765671714,0.015216312532794353,0.03282713344454446,0.030711386538478287,0.033594921039835496,quantile4
2.7366805892559682,0.028058016326705657,0.015171135633702,0.033109786111877204,0.03038950251507146,0.03356214816409731,quantile4
2.736680589255969,0.028058016326705657,0.015171135633701996,0.0331097861118772,0.03038950251507146,0.033562148164097305,quantile4
2.8366805892559683,0.028296781509378015,0.015096249836221293,0.034331496606920975,0.0303393315362321,0.033420567518694926,quantile4
2.836680589255969,0.028296781509378022,0.01509624983622129,0.034331496606920975,0.030339331536232115,0.033420567518694926,quantile4
2.9366805892559684,0.029533899162458386,0.01573113247205127,0.03726026557435202,0.031039602738665684,0.034105139024166814,quantile4
2.9366805892559693,0.029533899162458403,0.015731132472051268,0.03726026557435204,0.031039602738665687,0.034105139024166814,quantile4
3.0366805892559685,0.03689146184694212,0.01956459373088491,0.0480804963421158,0.03793506298921782,0.04198637616358607,quantile4
3.0366805892559694,0.03689146184694213,0.019564593730884906,0.04808049634211581,0.03793506298921781,0.041986376163586074,quantile4
3.1366805892559686,0.04465049559643732,0.021279314370489924,0.059390778232912285,0.04704634288028526,0.05088646659280593,quantile4
3.1366805892559695,0.04465049559643729,0.021279314370489914,0.059390778232912264,0.047046342880285245,0.05088646659280592,quantile4
3.2366805892559687,0.05072375289688851,0.026806577509154304,0.0655443022028352,0.0513824734942137,0.05916259955777953,quantile4
3.2366805892559696,0.0507237528968885,0.026806577509154307,0.06554430220283519,0.05138247349421372,0.05916259955777958,quantile4
3.3366805892559688,0.05150127479015083,0.027549585729059505,0.06598760560125119,0.052140549137365155,0.060328301227520476,quantile4
3.3366805892559697,0.0515012747901508,0.027549585729059505,0.06598760560125119,0.052140549137365155,0.06032830122752049,quantile4
3.436680589255969,0.052559046212361425,0.02867059746063852,0.06629394393331782,0.05330712564682101,0.06196545785465818,quantile4
3.4366805892559698,0.05255904621236145,0.028670597460638526,0.06629394393331779,0.053307125646820996,0.061965457854658165,quantile4
3.536680589255969,0.0526509440471287,0.028882104763971194,0.06563648247980937,0.05355812940823897,0.06252799487567537,quantile4
3.53668058925597,0.0526509440471287,0.028882104763971198,0.06563648247980935,0.05355812940823899,0.06252799487567537,quantile4
3.636680589255969,0.05261603062388718,0.02887095244644246,0.0651042767925637,0.05380913466418208,0.0626806929965019,quantile4
3.63668058925597,0.05261603062388719,0.02887095244644246,0.0651042767925637,0.05380913466418208,0.06268069299650193,quantile4
3.736680589255969,0.05263733280679558,0.028979652120947736,0.06487045575205982,0.05404290147489863,0.0626572528441999,quantile4
3.73668058925597,0.05263733280679556,0.028979652120947736,0.06487045575205982,0.05404290147489865,0.0626572528441999,quantile4
3.836680589255969,0.05267001085501889,0.02905030847617738,0.0650822486768596,0.054203076937485564,0.0623453387999693,quantile4
3.83668058925597,0.05267001085501889,0.029050308476177383,0.06508224867685959,0.05420307693748557,0.0623453387999693,quantile4
3.9366805892559693,0.05262828371300076,0.02900590603576882,0.06558554650181601,0.05415000609791604,0.0617726057921958,quantile4
4.036680589255969,0.05253271841338879,0.028437870712093367,0.06688414565672664,0.05388200890857875,0.06092779654425049,quantile4
4.1366805892559695,0.05238101646563675,0.0271058703332781,0.06968923065845416,0.05316246324021149,0.059567496245193106,quantile4
4.23668058925597,0.05262469871211324,0.024557036907746303,0.0764724261896229,0.05173249380946434,0.05773794244585148,quantile4
4.33668058925597,0.05366746427234329,0.02024706098834225,0.08894938008222326,0.04916056837024165,0.056314162791136664,quantile4
4.436680589255969,0.054984256215713415,0.012738816325191903,0.10510410818351722,0.04498612179043219,0.057109640984603534,quantile4
4.53668058925597,0.06134195685418597,0.011150209174926698,0.12339792480909824,0.04417766474769042,0.06664400380491844,quantile4
4.63668058925597,0.06529599650646196,0.00707503250985442,0.13182684867956013,0.043340661913629695,0.07894373400432983,quantile4
4.73668058925597,0.06566970718627767,0.0012762175002626061,0.1285893389003357,0.0427858482985775,0.09002995802552015,quantile4
4.83668058925597,0.06386022665504114,0.004415830094725658,0.10854064023357256,0.04569291125899209,0.09679386425829875,quantile4
