scheme,group,group_label,effect_plus_1c,ci_low,ci_high,bootstrap_success,n_rows,n_clusters,scheme_display
quantile4,q1,Q1,0.007000355682167196,0.0053961696106982655,0.00879250802608344,400,25413,180,分位数分段4段
quantile4,q2,Q2,0.01980197056102161,0.01402765770645422,0.02546983545671849,400,25412,178,分位数分段4段
quantile4,q3,Q3,0.014187982259375431,0.010867579979264286,0.01766629617554103,400,25412,140,分位数分段4段
quantile4,q4,Q4,0.01961086765587631,0.015710508502213533,0.023229072106341456,400,25412,83,分位数分段4段
