t_eval,weight_mean,weight_std,weight_p95,weight_p99,weight_max,effective_sample_size,clip_threshold
1.436680589255968,0.44918377925855846,1.867743388414756,2.5555988867828225,10.459964246098515,16.422716204539476,5557.78414212922,16.422716204539476
1.536680589255968,0.5455157558594484,1.8780318724683758,3.7999167658409543,9.826130656466344,14.891723789747994,7909.274193034324,14.891723789747994
1.6366805892559682,0.6679922035362093,1.901871914407559,4.846541814878156,9.592829844584166,13.189526455409984,11162.656679363085,13.189526455409984
1.7366805892559682,0.8103467111606905,1.9380066842087575,5.170880461912962,9.553083005456534,12.04894763159459,15127.27341158002,12.04894763159459
1.8366805892559683,0.956521487280295,1.947432741817388,5.229203587285663,9.075011870164499,11.280874018452408,19756.60698393163,11.280874018452408
1.9366805892559684,1.0936055432811027,1.9233635773939461,5.153475790196373,8.262208193020287,10.341334260053555,24834.097715535023,10.341334260053555
2.0366805892559685,1.2091736057222822,1.8765957431704736,5.073254892687048,7.691235135871326,9.196584616577427,29821.56805655675,9.196584616577427
2.1366805892559686,1.2970062440200862,1.8309428380565664,4.8934692699230435,7.364507483399692,8.786959710113988,33964.647576277675,8.786959710113988
2.2366805892559687,1.348293663301159,1.7637415045618452,4.639795266114903,6.94070931894597,8.292400303930624,37492.48108298389,8.292400303930624
2.3366805892559688,1.3716295403479732,1.6933441972004173,4.421075354000137,6.595955660167811,8.032448286046256,40271.43467237086,8.032448286046256
2.436680589255968,1.3726886252128219,1.6141871628496747,4.226672909116389,6.190456935675901,7.44860127901684,42659.47253371127,7.44860127901684
2.436680589255969,1.3726886252128219,1.6141871628496745,4.226672909116387,6.1904569356759005,7.448601279016842,42659.47253371128,7.448601279016842
2.536680589255968,1.3601395780171674,1.555751986574287,4.096394813058178,5.577657400498579,6.638815586307021,44036.179735769416,6.638815586307021
2.536680589255969,1.3601395780171674,1.5557519865742868,4.096394813058181,5.577657400498583,6.638815586307021,44036.17973576942,6.638815586307021
2.636680589255968,1.331307396527075,1.537892684174419,4.014143973127416,5.1626286102814785,5.937358082873832,43543.66096594033,5.937358082873832
2.636680589255969,1.331307396527075,1.5378926841744187,4.014143973127416,5.162628610281471,5.937358082873833,43543.66096594035,5.937358082873833
2.7366805892559682,1.2692888230449855,1.5362594231038,3.9681904910028964,4.991478287565075,5.537961581494783,41238.817989675306,5.537961581494783
2.736680589255969,1.2692888230449846,1.5362594231038003,3.9681904910028973,4.991478287565072,5.53796158149479,41238.81798967526,5.53796158149479
2.8366805892559683,1.1589270710644042,1.5106848807738988,3.955181171165912,4.935959846166545,5.379122901488933,37659.657715601694,5.379122901488933
2.836680589255969,1.1589270710644028,1.5106848807738984,3.955181171165918,4.935959846166541,5.379122901488919,37659.657715601665,5.379122901488919
2.9366805892559684,1.0041292241542092,1.4425746418766086,3.883844921691845,4.990794350248269,5.451099022983409,33176.114885869756,5.451099022983409
