base_t,next_t,delta_global,weight_global,delta_cycle_0_500,weight_cycle_0_500,delta_cycle_500_1000,weight_cycle_500_1000,delta_cycle_1000_1500,weight_cycle_1000_1500,delta_cycle_1500_max,weight_cycle_1500_max,scheme
1.436680589255968,2.436680589255968,-0.010824186325697687,0.010550348905922286,-0.011362186162423706,0.01377689574336855,-0.007952811255504295,0.0022529558411710786,-0.016739127952569054,0.00019166379459449557,-0.015701878435660892,1.5868360255753195e-05,fixed4
1.536680589255968,2.536680589255968,-0.011545052708734554,0.015211058761500544,-0.012542976729281638,0.01964428809790136,-0.007580921886369427,0.003946078483929344,-0.016062801927071876,0.0001886306078123127,-0.015550661677993764,5.395750172659018e-05,fixed4
1.6366805892559682,2.636680589255968,-0.011806066659981436,0.021353681528459904,-0.013100000700584504,0.027000896361067644,-0.007184571551992182,0.007333422109635246,-0.015145692816674966,0.00037295298255703776,-0.015240812522907345,0.00016281453492157988,fixed4
1.7366805892559682,2.7366805892559682,-0.0061170915183711965,0.02880056670046952,-0.007346953765238803,0.035389454505067364,-0.0017071521547510498,0.013043279022049664,-0.009225911915523488,0.0010198904581779304,-0.00983226990984212,0.0004584435596713711,fixed4
1.8366805892559683,2.8366805892559683,-0.005479012668906256,0.0371102077737038,-0.006654444535206331,0.04410608263677067,-0.001328293379398605,0.021304167557592762,-0.007931276866359853,0.002609707559769845,-0.009357814854794255,0.0012260476787613254,fixed4
1.9366805892559684,2.9366805892559684,-0.0002006642518674602,0.04561704080876356,-0.0015147023849244015,0.052375689523104445,0.0036532300626417455,0.03156090869796797,0.0007039922118845089,0.005817650853973399,-0.001416580170947112,0.0030470628894047423,fixed4
2.0366805892559685,3.0366805892559685,0.007368062405675059,0.05357899855440694,0.006123127807775699,0.05954209192017664,0.010615591278773987,0.04253398039451269,0.010427011398679947,0.011366781340092526,0.006952871648385719,0.006801384479055831,fixed4
2.1366805892559686,3.1366805892559686,0.015180951742741377,0.060329400238654615,0.013711050204344532,0.06510232489828352,0.018849972672151657,0.05282113958569749,0.020170223604527995,0.019743067258517075,0.01374487984244005,0.013329366086697592,fixed4
2.2366805892559687,3.2366805892559687,0.02136857063145101,0.06544494832810445,0.019446281651048888,0.068770822674146,0.025963305025300868,0.06149577091904103,0.028369316790776807,0.030857293627663523,0.021524782713733533,0.02278309089686265,fixed4
2.3366805892559688,3.3366805892559688,0.022261769179826335,0.06891968834773556,0.020516022383514704,0.07072719367027906,0.026124259032756822,0.06812413567234162,0.030132594547506195,0.043862551779821325,0.023440094489547068,0.03417577556492489,fixed4
2.436680589255969,3.436680589255969,0.0235964084697943,0.07110969094687743,0.02193368476533055,0.07163284426705156,0.02714987431605928,0.07243112057896667,0.031568166390633264,0.05734315420198435,0.025493974544491333,0.04577771544999337,fixed4
2.536680589255969,3.536680589255969,0.024196140752711797,0.07226791055775134,0.022656778659289795,0.07197498949598007,0.027573959788904777,0.07423825276443062,0.031095036502168327,0.06977774658250031,0.025796191398458873,0.05629126671099052,fixed4
