t_eval,weight_mean,weight_std,weight_p95,weight_p99,weight_max,effective_sample_size,clip_threshold
3.6,3.1201946537912653,12.636045433332653,31.146560686384106,90.13717961166755,91.04530063255606,5887.7343652016725,91.04530063255606
3.7,2.855613554350947,11.170934078896595,27.486743331897102,79.54578181500796,80.34719580311402,6284.0677758947895,80.34719580311402
3.8000000000000003,2.1359876871457426,7.824569372437566,19.046137486684657,54.6709630145008,55.22176625639922,7105.15414290777,55.22176625639922
3.9000000000000004,1.414830713098681,4.987361722120675,10.302544737456888,29.36043823650664,39.02713986027359,7630.687744141994,39.02713986027359
4.0,0.8543881660947051,3.1148799684335398,5.485252331848312,12.525986956558468,28.203721904774376,7168.619652030336,28.203721904774376
4.1000000000000005,0.4972161852094199,1.9235307799480528,3.2983436290214665,8.912170644787029,18.570791704980905,6416.728647142936,18.570791704980905
4.200000000000001,0.3335883826252783,1.3444489581428716,2.2538047595987964,6.137299474765492,12.763506037493645,5941.530939506278,12.763506037493645
4.300000000000001,0.29378900481805054,1.1400191387239504,2.2475567548751214,5.523778211063793,11.084669382457776,6380.187653943492,11.084669382457776
4.4,0.3157061349010348,0.8758976656758781,1.3622044902246262,4.369155039808812,6.223298665638901,11779.449788215685,6.223298665638901
4.500000000000001,0.460803403232918,1.025527678523288,1.488914463865698,6.471954038750163,6.518562295850197,17209.943886994588,6.518562295850197
4.6,0.699277486527891,1.3696736842405797,2.780406888587598,7.661735474067176,8.348897635507354,21182.6334426593,8.348897635507354
4.600000000000001,0.6992774865278952,1.369673684240585,2.7804068885876227,7.661735474067108,8.348897635507374,21182.63344265937,8.348897635507374
4.7,0.9341861454671984,1.6466908849762167,4.04152317711719,5.532492571388228,8.348897635507365,24944.458117585637,8.348897635507365
4.700000000000001,0.9341861454672002,1.6466908849762183,4.041523177117199,5.532492571388221,8.348897635507354,24944.45811758567,8.348897635507354
4.800000000000001,1.081687717128235,1.7383850453480445,4.574617144359809,4.586277175671337,6.502128016316125,28595.000104896702,6.502128016316125
4.9,1.1002145327875845,1.552330614256682,4.031824571579057,4.047188637824607,4.047363338733919,34255.66899152501,4.047363338733919
