t_eval,m_global,m_q1,m_q2,m_q3,m_q4,scheme
3.6,0.03223850727066303,0.04712129657133031,0.03407125829402743,0.051048553463714834,-0.0032876603329917687,quantile4
3.7,0.03188749568464421,0.043923535910160905,0.03399307518394097,0.047857700633136074,0.0017752010737994085,quantile4
3.8000000000000003,0.031023466318462638,0.03619589469421172,0.03357560650938101,0.04048627001095415,0.013835892105987662,quantile4
3.9000000000000004,0.03105971009723838,0.030671112842827326,0.03445181909094272,0.03293846543986185,0.02617745818779,quantile4
4.0,0.030427874911827354,0.0253030471763737,0.03397342713128257,0.02786559291410934,0.03456963252033129,quantile4
4.1000000000000005,0.030062472778830184,0.022492309282175806,0.03339366931541585,0.025474193564625436,0.03889001452406661,quantile4
4.200000000000001,0.028441557412879414,0.015337175243717933,0.02845441024551828,0.02441531477305565,0.04555984103931911,quantile4
4.6,0.03803292253938986,0.014333592182087594,0.04297907096354779,0.04026688560175555,0.054553066731516345,quantile4
4.7,0.041444852253983824,0.018574096810325076,0.05024386331750946,0.043767398418837554,0.053194943439569514,quantile4
4.800000000000001,0.041968965198514174,0.0178339833569494,0.051320025215399544,0.04553864812972266,0.05318414642299603,quantile4
4.9,0.05557514287736387,0.017888432455242444,0.059921978785201724,0.07454342944456684,0.06994820227182802,quantile4
5.0,0.055682561702797,0.018160000727636755,0.0582963077182573,0.07660966467673233,0.06966573872686224,quantile4
5.1000000000000005,0.056367255010724926,0.019840522710973047,0.05754820714882056,0.07834388366849745,0.06973783267158089,quantile4
5.200000000000001,0.05703008570717365,0.022664563478104003,0.05718933803664045,0.07855333730021147,0.069714445787991,quantile4
