t_eval,m_global,m_cycle_0_500,m_cycle_500_1000,m_cycle_1000_1500,m_cycle_1500_max,scheme
3.6,0.03223850727066303,0.04654946711702393,-0.009986788874153414,0.02964971623004428,0.02911881593988591,fixed4
3.7,0.03188749568464421,0.04409274190091834,-0.004165474771911659,0.029971528940454625,0.029118842764516525,fixed4
3.8000000000000003,0.031023466318462638,0.03818997239462074,0.009781997257000352,0.030450616231788172,0.02911910108840258,fixed4
3.9000000000000004,0.03105971009723838,0.03344428690235006,0.0240643016444157,0.030919173037456116,0.029121014658513588,fixed4
4.0,0.030427874911827354,0.029286224200825807,0.033813635483057526,0.0311159149332051,0.029131862838393217,fixed4
4.1000000000000005,0.030062472778830184,0.02707754583939886,0.03891545962769347,0.0309041968843511,0.02917855907495404,fixed4
4.200000000000001,0.028441557412879414,0.0223678719483177,0.04490240263035151,0.03641442253665292,0.035342992222792344,fixed4
4.6,0.03803292253938986,0.031281985590805174,0.05818776880810323,0.03788889605149972,0.03927332725406584,fixed4
4.7,0.041444852253983824,0.03639955428495501,0.056959878682346816,0.03939233577520225,0.040157412107006685,fixed4
4.800000000000001,0.041968965198514174,0.03704652593447249,0.058556823331269256,0.034074591827439306,0.0327039926336281,fixed4
4.9,0.05557514287736387,0.049315502241860605,0.0755025634001364,0.050894589140682976,0.048604217745017914,fixed4
5.0,0.055682561702797,0.049676082761374085,0.0749251863268383,0.0506715484476506,0.048397690442857313,fixed4
5.1000000000000005,0.056367255010724926,0.050714889548308696,0.07473962980849545,0.05037000621049022,0.04860137553256671,fixed4
5.200000000000001,0.05703008570717365,0.05173838327389528,0.07449253252706522,0.050134505436474394,0.04887726018323907,fixed4
