t_eval,m_global,m_cycle_0_500,m_cycle_500_1000,m_cycle_1000_1500,m_cycle_1500_max,scheme
3.6,0.03140758037885025,0.03144305375793869,0.03219459135443253,0.02746049781976247,0.027355392778156348,fixed4
3.7,0.030317777459432687,0.029951114170578462,0.032136478506050975,0.02721993972617624,0.026775103248507227,fixed4
3.8000000000000003,0.031193490841646056,0.03065937501554589,0.03362687894891229,0.02772575560717513,0.02677507671461499,fixed4
3.9000000000000004,0.032943005987953806,0.03228391447862361,0.03590206707500352,0.028933794345538267,0.027487783212295905,fixed4
4.0,0.03409213302928508,0.03348722047236105,0.037113495355700084,0.029143279693732982,0.027485541564736708,fixed4
4.1000000000000005,0.03485826711540027,0.03423319012941508,0.038148492665000526,0.028923736908250872,0.027471658643413034,fixed4
4.200000000000001,0.035083511936161195,0.034252047644197696,0.03913236433305297,0.028386154771232717,0.02740618855013409,fixed4
4.300000000000001,0.035645420039530105,0.03320713179106158,0.043896351845517496,0.03151329558506387,0.03088977073939845,fixed4
4.4,0.03586039731162112,0.03348390512966147,0.044142341828292415,0.030713565969916708,0.030287923725122495,fixed4
4.500000000000001,0.036103447299889346,0.03404727475704347,0.04374178503937003,0.02953362264522728,0.029208930539887025,fixed4
4.6,0.03624917299117054,0.03466070151579014,0.04287750736198941,0.027776504160050595,0.028099172062967023,fixed4
4.600000000000001,0.036249172991170565,0.03466070151579014,0.042877507361989406,0.027776504160050515,0.028099172062967002,fixed4
4.7,0.03628579927608034,0.03510798513506001,0.04203318382662966,0.025669509025651554,0.02817910134517628,fixed4
4.700000000000001,0.03628579927608034,0.03510798513506,0.042033183826629635,0.02566950902565153,0.028179101345176302,fixed4
4.800000000000001,0.03621596823421984,0.03515174148178975,0.04174151722136749,0.02394094977533776,0.030564625098565657,fixed4
4.9,0.03610117927998094,0.03477949298337545,0.04219551793092132,0.02343933275050501,0.034696571230952516,fixed4
4.900000000000001,0.036101179279980945,0.034779492983375446,0.04219551793092132,0.023439332750504995,0.03469657123095258,fixed4
5.0,0.03567448399853142,0.033953486403302965,0.04252046470382835,0.02439383994622749,0.03776555186348278,fixed4
5.000000000000002,0.03567448399853139,0.03395348640330295,0.042520464703828385,0.024393839946227524,0.03776555186348298,fixed4
5.1000000000000005,0.03567623465306805,0.03348403538841078,0.04346275940887564,0.02684936611268324,0.03886689535180445,fixed4
5.100000000000001,0.03567623465306807,0.03348403538841078,0.04346275940887562,0.02684936611268327,0.03886689535180444,fixed4
5.200000000000001,0.04470252031181339,0.03941301271693095,0.059224712386641655,0.04842024652840051,0.05559818912522971,fixed4
5.300000000000001,0.03090761858870834,0.023911832419126675,0.04686630082463568,0.05235348062143829,0.054359328927236,fixed4
5.300000000000002,0.030907618588708368,0.02391183241912667,0.04686630082463568,0.052353480621438284,0.05435932892723598,fixed4
5.4,0.03285435758825133,0.025077932174294774,0.05100471176050916,0.05593184397221547,0.0542919330126094,fixed4
5.400000000000002,0.032854357588251296,0.025077932174294774,0.051004711760509185,0.05593184397221552,0.054291933012609386,fixed4
5.500000000000001,0.03283318611337014,0.02501874089490249,0.05103112355071608,0.05668932991822966,0.0532930190043118,fixed4
5.500000000000002,0.03283318611337014,0.02501874089490247,0.05103112355071607,0.05668932991822967,0.05329301900431179,fixed4
5.600000000000001,0.03600683522248852,0.028457438560877676,0.05394879177889241,0.05762510309144162,0.05369265141362264,fixed4
5.700000000000001,0.03609489843288071,0.028577477780114772,0.05407765298161007,0.056947198031693506,0.053590700726665004,fixed4
5.700000000000002,0.03609489843288069,0.028577477780114758,0.05407765298161007,0.056947198031693506,0.053590700726665004,fixed4
5.800000000000001,0.03421735900992046,0.02659189708696335,0.05242587868633093,0.05519223816319709,0.0529564443369299,fixed4
5.8000000000000025,0.03421735900992045,0.026591897086963353,0.05242587868633092,0.055192238163197085,0.0529564443369299,fixed4
5.900000000000001,0.034290285731958324,0.026530356477755503,0.05306640505984672,0.05427405779418189,0.052953019822134184,fixed4
5.900000000000002,0.034290285731958324,0.026530356477755486,0.053066405059846736,0.05427405779418188,0.052953019822134184,fixed4
6.000000000000002,0.04998651645143572,0.040196950761640565,0.07372788275514892,0.07460291950463765,0.07421336764342142,fixed4
