scheme,group,group_label,effect_plus_1c,ci_low,ci_high,bootstrap_success,n_rows,n_clusters,scheme_display
fixed4,cycle_0_500,0-500,0.012870529674877201,0.010386368395419182,0.015030467911652004,400,72096,180,固定分段4段
fixed4,cycle_500_1000,500-1000,0.01866602904619252,0.014330998556749361,0.02297856103320827,400,24133,92,固定分段4段
fixed4,cycle_1000_1500,1000-1500,0.018978227132099103,0.011770647713150957,0.027194101644213323,400,3924,14,固定分段4段
fixed4,cycle_1500_max,1500-max,0.016636183907423916,0.008633226332817918,0.04091590270033444,400,1496,5,固定分段4段
quantile4,q1,Q1,0.007000355682167196,0.0053961696106982655,0.00879250802608344,400,25413,180,分位数分段4段
quantile4,q2,Q2,0.01980197056102161,0.01402765770645422,0.02546983545671849,400,25412,178,分位数分段4段
quantile4,q3,Q3,0.014187982259375431,0.010867579979264286,0.01766629617554103,400,25412,140,分位数分段4段
quantile4,q4,Q4,0.01961086765587631,0.015710508502213533,0.023229072106341456,400,25412,83,分位数分段4段
