scheme,group,group_label,effect_plus_1c,ci_low,ci_high,bootstrap_success,n_rows,n_clusters,scheme_display
quantile4,q1,Q1,0.006819820469648544,0.0048309553850136005,0.008600905506093163,400,25503,180,分位数分段4段
quantile4,q2,Q2,0.003952097658635145,-0.0011844799552461981,0.009631145336920301,400,25301,178,分位数分段4段
quantile4,q3,Q3,0.022304527322620022,0.01810879403812961,0.027138856477299685,400,25382,141,分位数分段4段
quantile4,q4,Q4,0.025774571225130282,0.01923969308416986,0.0312977393893007,400,25463,83,分位数分段4段
