group,effect_plus_1c,ci_low,ci_high,bootstrap_success,n_rows,n_clusters
early,0.006326574802874125,0.003938038111308652,0.008519316204644085,400,34150,180
mid,0.010797337290412835,0.006927609569002629,0.015721919263471034,400,34149,177
late,0.02726141350476788,0.022107152613372663,0.03201211060984552,400,34150,95
