te_r,nde_r,nie_r,nie_share,closure_error,n_rows,n_clusters,cycle_t_min,cycle_t_max,cde_temp_plus_2p5,cde_temp_plus_5p0,scheme,group,group_label,treatment_mode,scenario,bootstrap_success,te_r_ci_low,te_r_ci_high,nde_r_ci_low,nde_r_ci_high,nie_r_ci_low,nie_r_ci_high,nie_share_ci_low,nie_share_ci_high,closure_error_ci_low,closure_error_ci_high,cde_temp_plus_2p5_ci_low,cde_temp_plus_2p5_ci_high,cde_temp_plus_5p0_ci_low,cde_temp_plus_5p0_ci_high,bootstrap_n,mode_order,scenario_order,scheme_order,stage_order,treatment_mode_display
0.008230356504800621,0.00806734815426523,0.0001630083505353892,0.01980574601359119,2.3852447794681098e-18,72477.0,180.0,1.0,499.0,-0.005713267988761534,-0.017361528040965895,fixed4,cycle_0_500,0-500,window_mean,baseline_tplus1_temp0_70,400,0.005591735167109975,0.01046767919418611,0.005427087048367411,0.010324723044562079,7.42405047022307e-05,0.00025631547645873847,0.008345047433303434,0.03850851600248251,-3.117758872253629e-18,2.714571189360578e-18,-0.010142725082134466,-0.0021638792539029703,-0.031029680540071426,-0.004845701535923216,400,2,0,0,0,窗口真实平均充电倍率
0.008906160313372621,0.008642501426552816,0.00026365888681980515,0.029604102951517806,-1.0842021724855044e-19,24229.0,92.0,500.0,999.0,-0.008115962263905806,-0.02216691659125445,fixed4,cycle_500_1000,500-1000,window_mean,baseline_tplus1_temp0_70,400,0.006292923590668019,0.01124464792970309,0.006017578138288701,0.010979448632121656,0.00013885800757038947,0.0004039783212950917,0.014870131357887333,0.05359412163196895,-2.3046072428895005e-18,2.387955284899321e-18,-0.014751369865953731,-0.00240494927015846,-0.04096218723982516,-0.005352658860932022,400,2,0,0,1,窗口真实平均充电倍率
0.010569427747312133,0.010206665851502676,0.0003627618958094565,0.034321810459578474,9.75781955236954e-19,3940.0,14.0,1000.0,1499.0,-0.010146743022558968,-0.026228478108560774,fixed4,cycle_1000_1500,1000-1500,window_mean,baseline_tplus1_temp0_70,400,0.006901714636481127,0.014562269678202806,0.006467956889069156,0.014142745587179574,0.00019748147247140927,0.0005974141601796615,0.016912431393996178,0.07583434388943602,-2.3310346708438345e-18,2.3866000321837154e-18,-0.020905162244067445,-0.002346934047857738,-0.05461635782575531,-0.005252856863600709,400,2,0,0,2,窗口真实平均充电倍率
0.011431810991009095,0.01103677601415078,0.00039503497685831554,0.034555765238683804,-1.0842021724855044e-19,1496.0,5.0,1500.0,2037.0,-0.01063964124805205,-0.027214274559546937,fixed4,cycle_1500_max,1500-max,window_mean,baseline_tplus1_temp0_70,398,0.0064774579134194545,0.018791461675009394,0.005872609273482817,0.018390624709235654,0.00020741603334072968,0.0006847289139139712,0.015427192350013745,0.08471318790117559,-3.2526065174565133e-18,2.889398789673867e-18,-0.024120923372574533,-0.002646926241055081,-0.06134354300852943,-0.00500550133918758,400,2,0,0,3,窗口真实平均充电倍率
