treatment_mode,treatment_mode_display,te_r,te_r_ci_low,te_r_ci_high,nde_r,nde_r_ci_low,nde_r_ci_high,nie_r,nie_r_ci_low,nie_r_ci_high,nie_share,nde_share,nie_share_signed,abs_nde_share,abs_nie_share,te_significant,nde_significant,nie_significant,path_dominance,mode_order,cde_temp_plus_1p0,cde_temp_plus_1p0_ci_low,cde_temp_plus_1p0_ci_high,cde_temp_plus_1p0_significant,cde_temp_plus_5p0,cde_temp_plus_5p0_ci_low,cde_temp_plus_5p0_ci_high,cde_temp_plus_5p0_significant
initial,初始充电倍率,0.0027211080304912327,-0.0016465980455292936,0.008470636795949194,0.0027580290069429544,-0.0016014999298967659,0.008511324683918377,-3.692097645172272e-05,-0.00016013330412660028,3.306603527793859e-05,-0.013568361137450871,1.0135683611374504,-0.013568361137450871,0.9867901119264827,0.0132098880735173,False,False,False,直接路径主导,0,-0.0032286655166078415,-0.004751497086449062,-0.0020297403692239135,True,-0.029283941408033448,-0.04681724828674111,-0.01492815636675428,True
effective_mean,策略平均充电倍率,0.062377342050926377,0.03811013649086883,0.09524756949112807,0.06360736286314456,0.03917112331738844,0.0973197538829884,-0.0012300208122181938,-0.0021880529995647567,-0.0006476196376686353,-0.019719032132115778,1.0197190321321155,-0.019719032132115778,0.9810291417929995,0.018970858207000472,True,True,True,直接路径主导,1,-0.0033528103816728096,-0.0048298219609038025,-0.0023465386597692245,True,-0.016368975318483085,-0.030230496391440348,-0.0030445563569986736,True
window_mean,窗口真实平均充电倍率,0.007918444371845294,0.005467975775639507,0.010252224829430896,0.007677560844456768,0.0051688030676799715,0.010044474669518279,0.00024088352738852592,0.00013793697810266978,0.00035294875510199114,0.030420561928174668,0.9695794380718253,0.030420561928174668,0.9695794380718253,0.030420561928174668,True,True,True,直接路径主导,2,-0.002440533570137762,-0.003982450942344964,-0.001260276146799821,True,-0.022134509861504913,-0.037975080634090455,-0.009211573841235646,True
