te_r,nde_r,nie_r,nie_share,closure_error,n_rows,n_clusters,cycle_t_min,cycle_t_max,cde_temp_plus_1p0,cde_temp_plus_5p0,scheme,group,group_label,treatment_mode,scenario,bootstrap_success,te_r_ci_low,te_r_ci_high,nde_r_ci_low,nde_r_ci_high,nie_r_ci_low,nie_r_ci_high,nie_share_ci_low,nie_share_ci_high,closure_error_ci_low,closure_error_ci_high,cde_temp_plus_1p0_ci_low,cde_temp_plus_1p0_ci_high,cde_temp_plus_5p0_ci_low,cde_temp_plus_5p0_ci_high,bootstrap_n,mode_order,scenario_order,scheme_order,stage_order,treatment_mode_display
0.002223163007692371,0.0022448741133935077,-2.1711105701137594e-05,-0.009765863153540678,7.352245982167327e-19,72471.0,180.0,1.0,499.0,-0.0027785936236369704,-0.027033581943179102,fixed4,cycle_0_500,0-500,initial,baseline_tplus1_temp0_70,400,-0.0021599605480165434,0.007606891700154879,-0.002105146779177842,0.007623961594120385,-0.00014587215315103568,5.576870546519087e-05,-0.11804851889391733,0.1359282292039436,-1.1440450502090206e-18,1.2471713115372315e-18,-0.004207716737714081,-0.0017292732769643316,-0.04259614669214631,-0.01417132079779669,400,0,0,0,0,初始充电倍率
0.0036614346717590233,0.0037267875053674186,-6.535283360839476e-05,-0.01784896890622331,-5.149960319306146e-19,24229.0,92.0,500.0,999.0,-0.0041084397876639004,-0.03368281276331372,fixed4,cycle_500_1000,500-1000,initial,baseline_tplus1_temp0_70,400,-0.0013313348533168163,0.009892780570190853,-0.0013120244511926659,0.010012545529106309,-0.00018895643684438122,9.36919317024014e-06,-0.14173132751356676,0.04602842517672148,-1.5483338759334982e-18,1.551933765959329e-18,-0.006405429351823875,-0.0024885184617479826,-0.05528976370545666,-0.016032642190725973,400,0,0,0,1,初始充电倍率
0.005085953214658503,0.005196405123756013,-0.00011045190909750932,-0.021717051737552336,-7.453889935837843e-19,3940.0,14.0,1000.0,1499.0,-0.005232521270395764,-0.039303220176973075,fixed4,cycle_1000_1500,1000-1500,initial,baseline_tplus1_temp0_70,400,-0.00043612816941696357,0.013433105698524104,-0.0003707053583699335,0.013569301136825702,-0.0003047867367558104,-3.321970406588809e-05,-0.1774606576891074,0.10134682064128918,-1.7909664636744923e-18,1.9014195599964497e-18,-0.009913076480545657,-0.00276285417902884,-0.07513287943076143,-0.016643858030615813,400,0,0,0,2,初始充电倍率
0.005385486058806736,0.00550508564588162,-0.00011959958707488375,-0.022207760965104694,-3.6591823321385775e-19,1496.0,5.0,1500.0,2037.0,-0.005505348452537167,-0.04066735608768005,fixed4,cycle_1500_max,1500-max,initial,baseline_tplus1_temp0_70,395,-0.0004891513048493952,0.01369947668624388,-0.000328401165395742,0.013963850973431991,-0.00033516302289643955,-2.7883804595237116e-05,-0.13360086358905668,0.09543949786212208,-1.6127507315721878e-18,2.0640498858692784e-18,-0.010741462850564503,-0.002546045600934277,-0.07983317592372145,-0.016521652442196423,400,0,0,0,3,初始充电倍率
0.0014527719847554047,0.00145225536427266,5.166204827451377e-07,0.00035561016330592186,-4.247870230480316e-19,25534.0,180.0,1.0,144.0,-0.0018994247981723262,-0.022637737815855898,quantile4,q1,Q1,initial,baseline_tplus1_temp0_70,400,-0.0027611881729089826,0.00679672801724536,-0.002743062190023405,0.006788567699653658,-0.0001214947281789215,0.00010342187683185976,-0.2502221094236042,0.19783605179807412,-1.0478644590482949e-18,8.956526384266961e-19,-0.0034814928278636224,-0.0006902970972941569,-0.03428083536215495,-0.013397120563226313,400,0,0,1,0,初始充电倍率
0.0019742269487765625,0.0019887830094214485,-1.4556060644886256e-05,-0.007373043232900206,2.371692252312041e-19,25534.0,178.0,144.0,295.0,-0.0024814780824227566,-0.025548004237108037,quantile4,q2,Q2,initial,baseline_tplus1_temp0_70,400,-0.0022469539192075264,0.007360910420770421,-0.0022626873543051314,0.007412203009176571,-0.00013813425994829758,7.191511907097909e-05,-0.1986695828223101,0.13013085653172848,-9.764595815947574e-19,8.487270131488074e-19,-0.0038498775953768193,-0.0013781765994060247,-0.0398523253440624,-0.013745798822986662,400,0,0,1,1,初始充电倍率
0.0033725961544851255,0.003427488267415109,-5.489211292998419e-05,-0.016275922291195354,7.182839392716467e-19,25534.0,140.0,295.0,547.0,-0.004091724203590319,-0.03359923484294584,quantile4,q3,Q3,initial,baseline_tplus1_temp0_70,400,-0.0016178781807366898,0.009805607380685522,-0.0015992876744646187,0.009825848047041575,-0.00018795492622433274,3.138868797679659e-05,-0.1497855882110355,0.0698210106591954,-1.588017369512362e-18,1.2824078821430092e-18,-0.006025401119668752,-0.0025324142829298837,-0.05491242135052314,-0.01588086475537413,400,0,0,1,2,初始充电倍率
0.004084837033947837,0.004163589386662603,-7.87523527147656e-05,-0.019279190836813998,-2.846030702774449e-19,25534.0,83.0,547.0,2037.0,-0.004442034982245963,-0.03535078873622402,quantile4,q4,Q4,initial,baseline_tplus1_temp0_70,400,-0.0011615650781305366,0.010419270759830403,-0.0011136368009166857,0.010538407907328916,-0.00021730406883271902,-1.0445617681363796e-05,-0.12582957086640964,0.05471357917489448,-1.7079572348435713e-18,1.4098016374100572e-18,-0.0069837801526675914,-0.002606035632620953,-0.057636686625193924,-0.01647289093159423,400,0,0,1,3,初始充电倍率
0.06553216225194311,0.06678423507428617,-0.0012520728223430642,-0.019106233936389588,2.6020852139652106e-18,72471.0,180.0,1.0,499.0,-0.003366341931343495,-0.01643663306683651,fixed4,cycle_0_500,0-500,effective_mean,baseline_tplus1_temp0_70,400,0.04009446204002264,0.09986981525615703,0.04143166097103437,0.10184845897910949,-0.0022142470965707596,-0.0006628946418570798,-0.040683136589653245,-0.008851923621910122,-1.8260675090087107e-17,2.041552690790202e-17,-0.004759861143887393,-0.002377562848563659,-0.02914858878600473,-0.005317960176696888,400,1,0,0,0,策略平均充电倍率
0.05416470940039494,0.055310455336860444,-0.0011457459364655077,-0.021152997018703722,1.734723475976807e-18,24229.0,92.0,500.0,999.0,-0.0033263596980515667,-0.016236721900376883,fixed4,cycle_500_1000,500-1000,effective_mean,baseline_tplus1_temp0_70,400,0.030966945713966777,0.08159799774443902,0.03207682083573616,0.0831966782688356,-0.0020517779834368062,-0.0006038394754066179,-0.04636607051465438,-0.009590351529383633,-1.3460369971407537e-17,1.2793585635328952e-17,-0.005130371467685047,-0.0019257426603362141,-0.03371007000594796,0.0002529413616435752,400,1,0,0,1,策略平均充电倍率
