te_r,nde_r,nie_r,nie_share,closure_error,n_rows,n_clusters,cycle_t_min,cycle_t_max,cde_temp_plus_1p0,cde_temp_plus_5p0,scheme,group,group_label,treatment_mode,scenario,bootstrap_success,te_r_ci_low,te_r_ci_high,nde_r_ci_low,nde_r_ci_high,nie_r_ci_low,nie_r_ci_high,nie_share_ci_low,nie_share_ci_high,closure_error_ci_low,closure_error_ci_high,cde_temp_plus_1p0_ci_low,cde_temp_plus_1p0_ci_high,cde_temp_plus_5p0_ci_low,cde_temp_plus_5p0_ci_high,bootstrap_n,mode_order,scenario_order,scheme_order,stage_order,treatment_mode_display
0.0014527719847554047,0.00145225536427266,5.166204827451377e-07,0.00035561016330592186,-4.247870230480316e-19,25534.0,180.0,1.0,144.0,-0.0018994247981723262,-0.022637737815855898,quantile4,q1,Q1,initial,baseline_tplus1_temp0_70,400,-0.0027611881729089826,0.00679672801724536,-0.002743062190023405,0.006788567699653658,-0.0001214947281789215,0.00010342187683185976,-0.2502221094236042,0.19783605179807412,-1.0478644590482949e-18,8.956526384266961e-19,-0.0034814928278636224,-0.0006902970972941569,-0.03428083536215495,-0.013397120563226313,400,0,0,1,0,初始充电倍率
0.0019742269487765625,0.0019887830094214485,-1.4556060644886256e-05,-0.007373043232900206,2.371692252312041e-19,25534.0,178.0,144.0,295.0,-0.0024814780824227566,-0.025548004237108037,quantile4,q2,Q2,initial,baseline_tplus1_temp0_70,400,-0.0022469539192075264,0.007360910420770421,-0.0022626873543051314,0.007412203009176571,-0.00013813425994829758,7.191511907097909e-05,-0.1986695828223101,0.13013085653172848,-9.764595815947574e-19,8.487270131488074e-19,-0.0038498775953768193,-0.0013781765994060247,-0.0398523253440624,-0.013745798822986662,400,0,0,1,1,初始充电倍率
0.0033725961544851255,0.003427488267415109,-5.489211292998419e-05,-0.016275922291195354,7.182839392716467e-19,25534.0,140.0,295.0,547.0,-0.004091724203590319,-0.03359923484294584,quantile4,q3,Q3,initial,baseline_tplus1_temp0_70,400,-0.0016178781807366898,0.009805607380685522,-0.0015992876744646187,0.009825848047041575,-0.00018795492622433274,3.138868797679659e-05,-0.1497855882110355,0.0698210106591954,-1.588017369512362e-18,1.2824078821430092e-18,-0.006025401119668752,-0.0025324142829298837,-0.05491242135052314,-0.01588086475537413,400,0,0,1,2,初始充电倍率
0.004084837033947837,0.004163589386662603,-7.87523527147656e-05,-0.019279190836813998,-2.846030702774449e-19,25534.0,83.0,547.0,2037.0,-0.004442034982245963,-0.03535078873622402,quantile4,q4,Q4,initial,baseline_tplus1_temp0_70,400,-0.0011615650781305366,0.010419270759830403,-0.0011136368009166857,0.010538407907328916,-0.00021730406883271902,-1.0445617681363796e-05,-0.12582957086640964,0.05471357917489448,-1.7079572348435713e-18,1.4098016374100572e-18,-0.0069837801526675914,-0.002606035632620953,-0.057636686625193924,-0.01647289093159423,400,0,0,1,3,初始充电倍率
0.07097132066759035,0.07225346342757205,-0.0012821427599817167,-0.018065646065498934,1.4094628242311558e-17,25534.0,180.0,1.0,144.0,-0.003392774412057112,-0.016568795470404584,quantile4,q1,Q1,effective_mean,baseline_tplus1_temp0_70,400,0.046462602987880436,0.10809983489734734,0.04781452671700083,0.10981851844230085,-0.0022819401044549934,-0.00063508516531579,-0.03484171829099715,-0.008375907473629048,-2.2128566340429145e-17,1.9992688060632662e-17,-0.004882181478612639,-0.0023905410467731834,-0.026265907878893876,-0.007892396957656526,400,1,0,1,0,策略平均充电倍率
0.06759905550983689,0.06886704019755016,-0.0012679846877132821,-0.018757432010699727,7.15573433840433e-18,25534.0,178.0,144.0,295.0,-0.00337527480132863,-0.016481297416762186,quantile4,q2,Q2,effective_mean,baseline_tplus1_temp0_70,400,0.0422742077974573,0.1040894881443308,0.043633909898993434,0.10540214560748906,-0.002246713132113667,-0.000660025962265174,-0.038242717836182855,-0.008693038050979013,-1.7564075194265172e-17,1.9092800257469723e-17,-0.004752206483717096,-0.002431070656436139,-0.028071330132318547,-0.0061518622278306815,400,1,0,1,1,策略平均充电倍率
0.05676991252566974,0.05796356626842049,-0.001193653742750754,-0.02102616843404537,8.239936510889834e-18,25534.0,140.0,295.0,547.0,-0.003326862257219777,-0.01623923469621793,quantile4,q3,Q3,effective_mean,baseline_tplus1_temp0_70,400,0.03326753685948612,0.08677061660962364,0.0343534775529804,0.08794987653118909,-0.0021212178438347763,-0.000628799030547912,-0.046934895282143584,-0.009545991639921514,-1.5829351718288365e-17,1.5612511283791264e-17,-0.005052620834957126,-0.0018994976041481315,-0.034069769851446274,-0.00019725124737437588,400,1,0,1,2,策略平均充电倍率
0.05416907950060851,0.05534538155903553,-0.0011763020584270223,-0.021715378390615044,-1.951563910473908e-18,25534.0,83.0,547.0,2037.0,-0.0033163300560857195,-0.01618657369054765,quantile4,q4,Q4,effective_mean,baseline_tplus1_temp0_70,400,0.0296918410336028,0.0827729396348288,0.03132681952725324,0.08441084301924515,-0.0020868596341531505,-0.000616703161090884,-0.05095367075869685,-0.009497269255239698,-1.290742686343993e-17,1.5612511283791264e-17,-0.005350869330135302,-0.0016983199502163834,-0.03532130397330552,0.0011384594837754681,400,1,0,1,3,策略平均充电倍率
0.007603617059718424,0.007460366696424222,0.00014325036329420186,0.018839765623271235,2.981555974335137e-19,25534.0,180.0,1.0,144.0,-0.0014359443576853397,-0.01711156379924281,quantile4,q1,Q1,window_mean,baseline_tplus1_temp0_70,400,0.0047084570827644985,0.010243901874500203,0.004577717891562464,0.010134826969883689,4.006718633890268e-05,0.00025962287291813886,0.005590950982171268,0.039410629074216094,-2.2232920799530877e-18,1.897862021617985e-18,-0.0026426407247812007,-0.0003854696163235009,-0.028310759910920868,-0.008095396206431679,400,2,0,1,0,窗口真实平均充电倍率
0.008367117850456207,0.00817140304574285,0.00019571480471335798,0.02339094634632006,8.131516293641283e-20,25534.0,178.0,144.0,295.0,-0.0018756916025776582,-0.019310300023704402,quantile4,q2,Q2,window_mean,baseline_tplus1_temp0_70,400,0.0057662433961295605,0.010860765390424803,0.005495858575354749,0.010636950941424368,9.356214298918009e-05,0.0003066466695822642,0.010817373356344598,0.04248888089657374,-2.358139725155972e-18,2.549230358056541e-18,-0.00307775022939236,-0.0009079227797916613,-0.0330319141987273,-0.008411034166483996,400,2,0,1,1,窗口真实平均充电倍率
0.006823817345712784,0.006541211047525946,0.0002826062981868386,0.04141469266676552,-1.6263032587282567e-19,25533.0,140.0,295.0,547.0,-0.0030929151129597595,-0.0253964175756149,quantile4,q3,Q3,window_mean,baseline_tplus1_temp0_70,400,0.004371408627651673,0.008869052990730306,0.0041029453660047024,0.008626639585057575,0.0001645960136386784,0.0004233565154339745,0.021932919355615137,0.07945744721185224,-1.7889335846010823e-18,1.6296913905172708e-18,-0.005077076454822201,-0.0014987451363090236,-0.04584829181789696,-0.008828249547262608,400,2,0,1,2,窗口真实平均充电倍率
0.008879182362102904,0.008537218084734786,0.0003419642773681177,0.03851303683407269,4.87890977618477e-19,25534.0,83.0,547.0,2037.0,-0.0033576087568521727,-0.02671988579507696,quantile4,q4,Q4,window_mean,baseline_tplus1_temp0_70,400,0.006095213569817752,0.011374162535761258,0.0056801379474682775,0.01111225481722622,0.00019691614433145623,0.0005183107546232386,0.020502114576574634,0.07215626244330739,-2.4435206462392054e-18,2.549230358056541e-18,-0.0056580498182578565,-0.0014750933867838665,-0.04747770889802326,-0.008828449643978713,400,2,0,1,3,窗口真实平均充电倍率
