epoch,train_loss,valid_loss,is_best_epoch
1,0.04689838548281708,0.002214002869002381,1
2,0.0213988298325934,0.0012034763987932584,1
3,0.016309524493325647,0.001401934627381574,0
4,0.011126200411003043,0.0014637625097450658,0
5,0.0072323198776117065,0.0013138888830244646,0
6,0.004351319322025202,0.0011809740806076289,0
7,0.002395040461021958,0.0010087828646310197,1
8,0.0015016501369542832,0.0009428896674487723,0
9,0.0010230768330268048,0.0008201041167474869,1
10,0.0007949701285719724,0.0008649680873608086,0
11,0.0006815661346322062,0.0007935537254597728,0
12,0.0006139749135633311,0.0007282559902203823,0
13,0.0005738723787348609,0.000695417846557983,1
14,0.000555166497023021,0.000774006344436064,0
15,0.0005418131275673438,0.0009160571342542559,0
16,0.0005187265252836206,0.0007099894775358137,0
17,0.0005018948513520012,0.0007297588753536582,0
18,0.0004790383472912882,0.0008982125481585092,0
19,0.0004502851739072701,0.0007238390607357942,0
20,0.0004392861166142307,0.0007379218125622094,0
21,0.00041284391429111426,0.0006450178978494686,0
