stage_key,stage_label,feature_group,n_train_stage,n_valid_stage,mae,rmse,r2,mape
early,早期(0%-33%),charge_only,7090,2457,0.030058592247922185,0.04013902123683203,-0.9344312166587543,0.027846361359087635
early,早期(0%-33%),policy_only,7090,2457,0.03907652794643193,0.04691851775585548,-1.6430677909405529,0.03599995850388363
early,早期(0%-33%),combined_charge_plus_policy,7090,2457,0.023198792341665105,0.034476723461834835,-0.4271568492909086,0.021500495990785604
middle,中期(33%-67%),charge_only,6705,2647,0.029967190012349248,0.0408972270059009,-0.5873159502041183,0.028204249635681612
middle,中期(33%-67%),policy_only,6705,2647,0.025070083564795752,0.036040763200080664,-0.23271764970216746,0.02344131049417236
middle,中期(33%-67%),combined_charge_plus_policy,6705,2647,0.02226137853828346,0.033587040605830114,-0.07058002179294376,0.0209715661732639
late,晚期(67%-100%),charge_only,6263,2460,0.04551237450712392,0.060984896541970667,-0.41025788359129134,0.047310464443693086
late,晚期(67%-100%),policy_only,6263,2460,0.048340409045788416,0.06768133334728126,-0.7369677904271437,0.05121913933109231
late,晚期(67%-100%),combined_charge_plus_policy,6263,2460,0.035924777957711505,0.050663922673247826,0.026689120793633947,0.0373127729918221
