stage_key,stage_label,compare_to,n_valid_stage,delta_mae,mae_improve_pct,delta_rmse,rmse_improve_pct,delta_r2,delta_mape,mape_improve_pct
early,早期(0%-33%),policy_only,2457,-0.015877735604766827,0.4063241142235775,-0.012441794294020647,0.26517875860364104,1.2159109416496443,-0.014499462513098024,0.4027633118392023
early,早期(0%-33%),charge_only,2457,-0.0068597999062570796,0.22821427729142127,-0.005662297774997195,0.14106716109463588,0.5072743673678457,-0.00634586536830203,0.227888494531479
middle,中期(33%-67%),policy_only,2647,-0.0028087050265122905,0.11203413100929459,-0.00245372259425055,0.06808187109214875,0.1621376279092237,-0.002469744320908459,0.10535862837201236
middle,中期(33%-67%),charge_only,2647,-0.0077058114740657865,0.2571416095700091,-0.007310186400070785,0.17874528263287942,0.5167359284111745,-0.007232683462417712,0.2564394924822796
late,晚期(67%-100%),policy_only,2460,-0.01241563108807691,0.25683752647431524,-0.01701741067403343,0.25143432956196354,0.7636569112207776,-0.013906366339270212,0.2715072240745058
late,晚期(67%-100%),charge_only,2460,-0.009587596549412415,0.21065911531185208,-0.01032097386872284,0.16923819591330783,0.4369470043849253,-0.009997691451870988,0.21132093225949658
