model_name,feature_group,train_rows,valid_rows,n_features,mae,rmse,r2,mape
random_forest,charge_only,20058,7564,12,0.035052558752427035,0.04814791472460714,0.14455644238263865,0.0343018113665273
random_forest,combined_charge_plus_policy,20058,7564,15,0.027009552558207004,0.04019545243911081,0.40380238071669594,0.026457942341336877
random_forest,policy_only,20058,7564,3,0.037187856506218545,0.05156933312354067,0.01866017192634606,0.03655475008945048
