compare_to,delta_mae,mae_improve_pct,delta_rmse,rmse_improve_pct,delta_r2,delta_mape,mape_improve_pct
policy_only,-0.01017830394801154,0.27369966715638816,-0.011373880684429863,0.22055512444154232,0.3851422087903499,-0.010096807748113602,0.2762105533044662
charge_only,-0.00804300619422003,0.22945560839158807,-0.007952462285496328,0.16516732512679377,0.2592459383340573,-0.007843869025190426,0.22867215207313218
