sample_id,policy,cell_code,cycles,file_path,best_degree,r2_q_best,rmse_q_best,rmse_dqdv_high_best,rmse_dqdv_all_best,score_best,high_sens_threshold_abs_dqdv,high_sens_points,sensitive_voltage_low,sensitive_voltage_high,rank_warning_best,n_points_window,n_points_dqdv_ref,n_highres_points,non_finite_count,sign_consistency,passes_physical_checks,promote_to_full
4_8C-80PER_4_8C|465027|10,4_8C-80PER_4_8C,465027,10,C:\Users\pal\projects\batt_soh\data\raw\4_8C-80PER_4_8C\cycles_465027.csv,9,0.9975432339814233,0.015737458916665243,1.551500964271772,1.541136469793203,0.0,,182,2.5,3.4,0,251,186,319,0,1.0,1,1
4_8C_80PER_4_8C_NEWSTRUCTURE|737345|638,4_8C_80PER_4_8C_NEWSTRUCTURE,737345,638,C:\Users\pal\projects\batt_soh\data\raw\4_8C_80PER_4_8C_NEWSTRUCTURE\cycles_737345.csv,9,0.9981960224034893,0.012728680485211986,0.7074935672281016,0.706362219216652,0.0,,169,2.5,3.4,0,176,175,331,0,1.0,1,1
5C_67PER_4C_NEWSTRUCTURE|737329|626,5C_67PER_4C_NEWSTRUCTURE,737329,626,C:\Users\pal\projects\batt_soh\data\raw\5C_67PER_4C_NEWSTRUCTURE\cycles_737329.csv,9,0.9983618570051477,0.011534408814714441,0.6467564951457797,0.6463407591243112,0.0,,161,2.5,3.4,0,167,166,321,0,1.0,1,1
5_6C_19PER_4_6C_NEWSTRUCTURE|737287|238,5_6C_19PER_4_6C_NEWSTRUCTURE,737287,238,C:\Users\pal\projects\batt_soh\data\raw\5_6C_19PER_4_6C_NEWSTRUCTURE\cycles_737287.csv,9,0.9977977409976191,0.014358710177173467,0.7824612200776773,0.7921169175705618,0.07392971361052149,,174,2.5,3.4,0,178,177,317,0,1.0,1,1
6C-50PER_3C|460507|685,6C-50PER_3C,460507,685,C:\Users\pal\projects\batt_soh\data\raw\6C-50PER_3C\cycles_460507.csv,9,0.9986572002297837,0.009730559681874118,0.5241856701183188,0.5617457297306433,0.0,,151,2.5,3.4,0,208,156,324,0,1.0,1,1
