share_feature,cross_bin,spearman_corr,spearman_abs,rf_perm_importance,rf_perm_importance_std,score_corr_norm,score_perm_norm,combined_score,soc_bin,rate_bin,temp_bin,soc_label,rate_label,temp_label,cross_label,rank_combined
share_27,27,0.4194982255708968,0.4194982255708968,2.005772301489913e-05,6.864422676523117e-07,1.0,0.8660357973242215,0.9330178986621107,2,2,2,"[10,90)","[0.434,1.99)","[31,32)",s2_r2_t2,1
share_49,49,-0.3154947449239018,0.3154947449239018,2.3160385606312338e-05,3.2199995891566904e-07,0.7520764706323698,1.0,0.8760382353161849,3,2,4,"[90,100]","[0.434,1.99)","[34,36)",s3_r2_t4,2
share_28,28,0.4092187136671045,0.4092187136671045,1.6159892081883226e-05,2.7724968063654984e-07,0.9754956963410206,0.6977384727773646,0.8366170845591926,2,2,3,"[10,90)","[0.434,1.99)","[32,34)",s2_r2_t3,3
share_50,50,-0.3818577859084763,0.3818577859084763,9.298431709625738e-06,1.9777373638668812e-07,0.9102727082785739,0.401480004162429,0.6558763562205014,3,2,5,"[90,100]","[0.434,1.99)","[36,60]",s3_r2_t5,4
share_41,41,0.2171895558135893,0.2171895558135893,1.52681937771447e-05,3.065857246455536e-07,0.5177365303941756,0.6592374598885509,0.5884869951413632,3,1,1,"[90,100]","[0,0.434)","[20,31)",s3_r1_t1,5
share_30,30,-0.1322989293275952,0.1322989293275952,1.920296434526074e-05,3.0662207127292865e-07,0.31537422869321813,0.8291297334888497,0.5722519810910339,2,2,5,"[10,90)","[0.434,1.99)","[36,60]",s2_r2_t5,6
share_29,29,0.15330343663282925,0.15330343663282925,1.487705205909643e-05,4.172091462465958e-07,0.3654447797108033,0.6423490658567319,0.5038969227837676,2,2,4,"[10,90)","[0.434,1.99)","[34,36)",s2_r2_t4,7
share_25,25,-0.06353256975146097,0.06353256975146097,1.943685890254919e-05,5.243487016231463e-07,0.1514489594443439,0.8392286394943137,0.4953387994693288,2,1,5,"[10,90)","[0,0.434)","[36,60]",s2_r1_t5,8
share_44,44,-0.3388947448812318,0.3388947448812318,3.884832660050541e-06,9.347017894632973e-08,0.8078573977757083,0.1677360958529004,0.48779674681430435,3,1,4,"[90,100]","[0,0.434)","[34,36)",s3_r1_t4,9
share_43,43,-0.24706982489804036,0.24706982489804036,8.892955208293363e-06,2.5987070401359564e-07,0.5889651250891516,0.38397267469802393,0.48646889989358777,3,1,3,"[90,100]","[0,0.434)","[32,34)",s3_r1_t3,10
share_55,55,-0.27742731441820956,0.27742731441820956,6.100921702805419e-06,1.738912476967435e-07,0.6613313180065485,0.2634205581250175,0.46237593806578303,3,3,5,"[90,100]","[1.99,4.22)","[36,60]",s3_r3_t5,11
share_35,35,-0.2393621366808968,0.2393621366808968,6.7703960925531415e-06,1.5471277179438213e-07,0.5705915355306876,0.29232657036193205,0.4314590529463098,2,3,5,"[10,90)","[1.99,4.22)","[36,60]",s2_r3_t5,12
share_47,47,0.24943171552537996,0.24943171552537996,5.589506100237238e-06,4.1243475917917267e-07,0.594595400697887,0.24133907764963222,0.4179672391737596,3,2,2,"[90,100]","[0.434,1.99)","[31,32)",s3_r2_t2,13
share_26,26,0.2120026318449447,0.2120026318449447,6.154171380464135e-06,8.910438142506336e-08,0.5053719394317568,0.2657197287245003,0.3855458340781286,2,2,1,"[10,90)","[0.434,1.99)","[20,31)",s2_r2_t1,14
share_45,45,-0.2505490819293378,0.2505490819293378,1.1452804259025777e-06,8.818154967425296e-08,0.5972589790775982,0.04944997226602448,0.3233544756718113,3,1,5,"[90,100]","[0,0.434)","[36,60]",s3_r1_t5,15
share_38,38,0.22466788168710491,0.22466788168710491,2.35405379877884e-06,1.6875447161776298e-07,0.5355633659268845,0.10164139055341312,0.3186023782401488,2,4,3,"[10,90)","[4.22,7.75]","[32,34)",s2_r4_t3,16
share_10,10,-0.23138682309669506,0.23138682309669506,1.8773655815378068e-06,2.1372009425892345e-07,0.551579980539369,0.08105934043801641,0.3163196604886927,1,2,5,"[0,10)","[0.434,1.99)","[36,60]",s1_r2_t5,17
share_37,37,0.20254676734351396,0.20254676734351396,2.7443661613575804e-06,1.9606035747943247e-07,0.4828310467055427,0.11849397535978876,0.3006625110326657,2,4,2,"[10,90)","[4.22,7.75]","[31,32)",s2_r4_t2,18
share_23,23,0.19929144009090433,0.19929144009090433,2.603515503989865e-06,2.2489590886746258e-07,0.4750709965928648,0.11241244201393087,0.2937417193033978,2,1,3,"[10,90)","[0,0.434)","[32,34)",s2_r1_t3,19
share_15,15,-0.22824999242671384,0.22824999242671384,3.960402969384799e-07,9.215666207139343e-08,0.5441024026170493,0.017099900825076918,0.28060115172106315,1,3,5,"[0,10)","[1.99,4.22)","[36,60]",s1_r3_t5,20
share_07,7,0.09425813897239164,0.09425813897239164,7.706421625306702e-06,2.605833252032095e-07,0.22469258086638,0.3327415076891606,0.27871704427777033,1,2,2,"[0,10)","[0.434,1.99)","[31,32)",s1_r2_t2,21
share_46,46,0.19723922003177935,0.19723922003177935,1.986783235998918e-06,2.2790072568234034e-07,0.4701789137805189,0.08578368554698944,0.2779812996637542,3,2,1,"[90,100]","[0.434,1.99)","[20,31)",s3_r2_t1,22
share_22,22,0.1636886866830033,0.1636886866830033,1.7889051212744918e-06,1.4460076666240447e-07,0.3902011419958659,0.07723986775016939,0.23372050487301765,2,1,2,"[10,90)","[0,0.434)","[31,32)",s2_r1_t2,23
