timestamp,epoch,train_loss,valid_loss,is_best_epoch,best_valid_loss,no_improve_count
2026-04-14 08:50:16,1,0.0343859596737323,0.004641625443648786,1,0.004641625443648786,0
2026-04-14 08:50:59,2,0.008612074468606495,0.0034693556242598243,1,0.0034693556242598243,0
2026-04-14 08:51:43,3,0.007412975433922126,0.0036770704511150647,0,0.0034693556242598243,1
2026-04-14 08:52:26,4,0.006596404244994695,0.0030481951206661737,1,0.0030481951206661737,0
2026-04-14 08:53:10,5,0.006094965520801455,0.003349916195801521,0,0.0030481951206661737,1
2026-04-14 08:53:54,6,0.005602434526389295,0.0027195758774828434,1,0.0027195758774828434,0
2026-04-14 08:54:37,7,0.005265143174108512,0.003261062928999562,0,0.0027195758774828434,1
2026-04-14 08:55:20,8,0.004947413967349928,0.002926219404651996,0,0.0027195758774828434,2
2026-04-14 08:56:04,9,0.004638853830600617,0.003775729168738692,0,0.0027195758774828434,3
2026-04-14 08:56:48,10,0.004318605748828337,0.003440680676830889,0,0.0027195758774828434,4
2026-04-14 08:57:32,11,0.004067400756890107,0.004007892712194061,0,0.0027195758774828434,5
2026-04-14 08:58:15,12,0.003819106469676115,0.003233993886324163,0,0.0027195758774828434,6
2026-04-14 08:58:59,13,0.0034635320616959193,0.002648484137285753,1,0.002648484137285753,0
2026-04-14 08:59:42,14,0.0031676336811995694,0.0023106026047636555,1,0.0023106026047636555,0
2026-04-14 09:00:26,15,0.002953847084147713,0.001922684028212571,1,0.001922684028212571,0
2026-04-14 09:01:10,16,0.0026981611076939073,0.0015871200606857338,1,0.0015871200606857338,0
2026-04-14 09:01:54,17,0.0024608809584911943,0.001471454086391087,1,0.001471454086391087,0
2026-04-14 09:02:38,18,0.002298459868037973,0.0011441868419377536,1,0.0011441868419377536,0
2026-04-14 09:03:21,19,0.002106836905871723,0.0010802907585214486,1,0.0010802907585214486,0
2026-04-14 09:04:04,20,0.001963543441650184,0.0010510247827479598,1,0.0010510247827479598,0
2026-04-14 09:04:48,21,0.0018277083621990751,0.0010882495180843266,0,0.0010510247827479598,1
2026-04-14 09:05:32,22,0.001701775979031297,0.001162247056725862,0,0.0010510247827479598,2
2026-04-14 09:06:16,23,0.0015975380721109619,0.0011978142274161913,0,0.0010510247827479598,3
2026-04-14 09:06:59,24,0.001488633940639624,0.0012263023185903855,0,0.0010510247827479598,4
2026-04-14 09:07:43,25,0.001400756329253682,0.0012829602990684556,0,0.0010510247827479598,5
2026-04-14 09:08:27,26,0.0013331545369133114,0.0013930098894455664,0,0.0010510247827479598,6
2026-04-14 09:09:11,27,0.0012821799212265172,0.0015547504710581178,0,0.0010510247827479598,7
2026-04-14 09:09:54,28,0.0012281732674096404,0.0014652784774726749,0,0.0010510247827479598,8
2026-04-14 09:10:38,29,0.0011758932009613325,0.0015669981467328242,0,0.0010510247827479598,9
2026-04-14 09:11:22,30,0.0011390040859564465,0.001535216378444321,0,0.0010510247827479598,10
