trial_id,sequence_mode,window_size,hidden_size,learning_rate,num_layers,dropout,best_epoch,best_valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2,train_samples,valid_samples,checkpoint_path
19,prefix_full,,128,0.0005,2,0.1,2,0.9761626124382019,0.9761625528335571,0.9880093890411958,0.9868730306625366,-378.7040100097656,1024,512,outputs\analysis\lstm_charge_delta_ah_prefix_full_grid_cpu\checkpoints\trial_019.pt
35,prefix_full,,192,0.0002,2,0.1,2,0.9912417232990265,0.9912416338920593,0.9956111861023154,0.9943729639053345,-380.0328674316406,1024,512,outputs\analysis\lstm_charge_delta_ah_prefix_full_grid_cpu\checkpoints\trial_035.pt
10,prefix_full,,64,0.0002,1,0.2,2,0.9087409377098083,0.9087409973144531,0.9532790763016112,0.9522053599357605,-402.4296875,1024,512,outputs\analysis\lstm_charge_delta_ah_prefix_full_grid_cpu\checkpoints\trial_010.pt
11,prefix_full,,64,0.0002,2,0.1,2,1.3105564713478088,1.310556411743164,1.1447953580195738,1.1434082984924316,-420.0597229003906,1024,512,outputs\analysis\lstm_charge_delta_ah_prefix_full_grid_cpu\checkpoints\trial_011.pt
9,prefix_full,,64,0.0002,1,0.1,2,1.26546972990036,1.2654697895050049,1.124931015442727,1.1235153675079346,-421.4579162597656,1024,512,outputs\analysis\lstm_charge_delta_ah_prefix_full_grid_cpu\checkpoints\trial_009.pt
17,prefix_full,,128,0.0005,1,0.1,2,1.0536730885505676,1.0536730289459229,1.0264857665578822,1.0254480838775635,-423.8141784667969,1024,512,outputs\analysis\lstm_charge_delta_ah_prefix_full_grid_cpu\checkpoints\trial_017.pt
22,prefix_full,,128,0.0002,1,0.2,2,1.047689139842987,1.0476891994476318,1.0235669003282746,1.0224708318710327,-424.1983642578125,1024,512,outputs\analysis\lstm_charge_delta_ah_prefix_full_grid_cpu\checkpoints\trial_022.pt
18,prefix_full,,128,0.0005,1,0.2,2,1.2141634225845337,1.2141635417938232,1.1018908937793357,1.1008497476577759,-433.27081298828125,1024,512,outputs\analysis\lstm_charge_delta_ah_prefix_full_grid_cpu\checkpoints\trial_018.pt
7,prefix_full,,64,0.0005,2,0.1,2,1.0640225410461426,1.0640225410461426,1.0315146829038075,1.030335545539856,-434.11456298828125,1024,512,outputs\analysis\lstm_charge_delta_ah_prefix_full_grid_cpu\checkpoints\trial_007.pt
36,prefix_full,,192,0.0002,2,0.2,2,1.0687459111213684,1.0687458515167236,1.0338016499874256,1.032690167427063,-434.7354736328125,1024,512,outputs\analysis\lstm_charge_delta_ah_prefix_full_grid_cpu\checkpoints\trial_036.pt
24,prefix_full,,128,0.0002,2,0.2,2,1.1605828404426575,1.1605827808380127,1.077303476666632,1.076141357421875,-436.93450927734375,1024,512,outputs\analysis\lstm_charge_delta_ah_prefix_full_grid_cpu\checkpoints\trial_024.pt
