cycles,n_points_window,n_points_dqdv,peak_count_current,peak_count_balanced,peak1_abs_height_current,peak1_abs_height_balanced,peak1_voltage_drift_v,roughness_current,roughness_balanced
68,253,181,1,1,7.217479053113907,6.951609053364438,0.0,0.09674202402740177,0.013437887729455533
69,254,183,1,1,6.9530380089938095,6.8031030274151,-0.0009160000000001389,0.1343864454329224,0.01345590272702453
70,249,185,1,1,7.060775913094024,6.9233831458632755,-0.004597199999999635,0.11420795700349379,0.014326974988418067
71,261,183,1,1,7.182641085419504,7.053217876936241,0.0,0.09017071601470002,0.012640087902176115
72,250,181,1,1,6.8905357770795055,6.829512553071602,-0.0018505500000003394,0.09139876560839831,0.012021958792542682
73,244,182,1,1,7.169606837837888,6.957771234814721,0.0017614500000000533,0.10594995914636425,0.011888749530555865
74,247,181,1,1,6.96860528211173,6.7955407093886775,0.0,0.0952803436003691,0.011610954869025872
75,235,183,1,1,6.976688497099726,6.775773931114668,-0.0018477500000000369,0.09774645583199036,0.0116902698913022
76,250,181,1,1,7.093548827115516,6.971639419976729,0.0008830999999998035,0.10197120434114046,0.013704497143141233
77,263,183,1,1,6.993746915757605,6.840581744193882,0.0009360499999999661,0.09992574868533198,0.011331286619509355
78,252,181,1,1,6.943991017044084,6.82465578999188,0.0009655999999997888,0.12505984203624945,0.014885543826444565
79,244,180,1,1,7.082190641182459,6.831827229287567,0.0019059500000002672,0.12530261877960294,0.013826862138113767
80,239,182,1,1,6.8551477781850245,6.765514075812394,0.002722249999999704,0.09690747616457898,0.011451851867450442
81,247,180,1,1,7.02885363985995,6.889660531339256,-0.003602499999999953,0.12357374124992683,0.01456661212974951
82,251,182,1,1,7.163460919113994,7.0137199915295945,0.000906950000000073,0.09653351661337456,0.011785931134782348
83,241,180,1,1,7.027401216876623,6.835086059625084,-0.0018797000000003727,0.09526797824653321,0.011840434990441826
84,239,182,1,1,7.105918637809976,6.93273775176546,-0.001777649999999742,0.0973042741256248,0.01227219395816778
85,243,181,1,1,6.918539607467087,6.7562333450582095,0.0008496999999998422,0.091049423331592,0.012424505440486346
86,255,182,2,1,6.932579454478624,6.814703271156088,-0.0009470000000000312,0.12099540785908469,0.01605987807745255
87,241,181,1,1,6.972204513325362,6.880386424717378,0.0,0.10000928268452294,0.012145502024798997
88,243,183,1,1,7.564736342100158,7.248832640996445,0.0,0.10461939222539186,0.014106630333325652
89,240,181,1,1,7.061195363381925,6.900604976582247,0.0,0.09750470128432369,0.011597952120604722
90,260,183,1,1,6.907123346712073,6.77890101673206,-0.0018210500000002128,0.11534383678644228,0.012481149080082878
91,250,181,1,1,6.952143695404272,6.886372419584516,-0.003678799999999427,0.1060378382141657,0.013736865412219931
92,249,180,1,1,7.192507921469933,6.970271082607965,0.000976550000000298,0.09997146735852078,0.011041880283834862
93,247,182,1,1,7.348137465270899,6.989775339134983,0.0,0.13225606333061202,0.013861477950401808
94,244,180,1,1,6.952517696399015,6.777888142612179,-0.0008674000000001847,0.09727892262424444,0.011650121268001771
95,255,182,1,1,6.955374809026346,6.859612013582564,0.0,0.11371427398597315,0.01370181013558363
96,246,181,1,1,6.861102028464318,6.773097209304768,0.002781399999999934,0.09896281310052832,0.012148475823122487
97,254,183,1,1,7.52310078884763,7.313815152241414,0.0,0.13035684590784127,0.01466830481740504
98,248,180,1,1,7.006056771316148,6.779960041758281,0.0036124999999995744,0.11556449506887002,0.014784202328663232
99,257,183,1,1,6.82581938360722,6.725147684060261,0.0,0.0835166332889327,0.010326954845194263
100,246,182,1,1,6.95746114152406,6.814763950019725,0.0026330999999997218,0.10480726955050369,0.014194121841285018
