peak_rank,current_voltage_v,current_height_dqdv,current_area,current_prominence,current_width_v,balanced_voltage_v,balanced_height_dqdv,balanced_area,balanced_prominence,balanced_width_v,delta_voltage_v,delta_height_dqdv,delta_area,delta_prominence,delta_width_v
1,3.1525369000000003,-13.133595481068092,-1.0533633962116649,12.834675564822337,0.007522447930476517,3.1515727499999997,-11.640604457663082,-1.0535339179924619,11.34149360985325,0.03773831252880999,-0.0009641500000006076,1.4929910234050094,-0.00017052178079701719,-1.4931819549690868,0.030215864598333475
2,3.1571417,-7.39632264473635,-0.23497308579731638,2.977903432921477,0.01408154482481061,,,,,,,,,,
3,3.14468005,-6.934502187771955,-0.7281965485736871,2.901515833369369,0.02246538066759385,,,,,,,,,,
