cross_bin,share_feature,outcome_col,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,share_q01,share_q50,share_q99,support_width_1_99,bootstrap_success,effect_per_1pp,effect_per_5pp,ci_low,ci_high,p_value,q_value,abs_effect_per_1pp,soc_bin,rate_bin,temp_bin,cross_label
5,share_05,y_ir_rise_h,98893,173,3.6364417704551957e-10,0.20990618503757896,0.0862991698191582,,0.0,0.0,0.00010636533959768738,0.00010636533959768738,400,3.7875066331954965,18.93753316597748,2.693288763782091,4.856201278968994,0.0,0.0,3.7875066331954965,1,1,5,s1_r1_t5
17,share_17,y_ir_rise_h,98893,173,0.0001348391505188725,0.20990618503757896,0.16213740444566427,,0.0,0.0,0.045369990170001984,0.045369990170001984,400,0.0029698927177773467,0.014849463588886733,0.001045160961438104,0.00496185287641887,0.0,0.0,0.0029698927177773467,1,4,2,s1_r4_t2
30,share_30,y_ir_rise_h,98893,173,0.0010760535637679817,0.20990618503757896,0.6148677422358426,,0.0,0.0,0.1710815131664276,0.1710815131664276,400,-0.0022252623840891394,-0.011126311920445699,-0.003037826280774076,-0.0014803765195261092,0.0,0.0,0.0022252623840891394,2,2,5,s2_r2_t5
37,share_37,y_ir_rise_h,98893,173,0.0008377894064313968,0.20990618503757896,0.16920974777041586,,0.0,0.0,0.13427955090999608,0.13427955090999608,400,0.0015335371863552428,0.007667685931776214,0.0007600946965871952,0.003434200991249171,0.0,0.0,0.0015335371863552428,2,4,2,s2_r4_t2
38,share_38,y_ir_rise_h,98893,173,0.0026732383066184998,0.20990618503757896,0.1683114665333454,,0.0,0.0,0.25587227940559387,0.25587227940559387,400,0.000988797117795135,0.004943985588975675,0.00047194283356025607,0.0016402470666155818,0.0,0.0,0.000988797117795135,2,4,3,s2_r4_t3
9,share_09,y_ir_rise_h,98893,173,2.2843787328277966e-09,0.20990618503757896,0.09568924132955936,,0.0,0.0,0.00016007463680580263,0.00016007463680580263,400,-0.6358187503903228,-3.179093751951614,-1.2055263574053445,-0.17557928651204413,0.005,0.030555555555555558,0.6358187503903228,1,2,4,s1_r2_t4
43,share_43,y_ir_rise_h,98893,173,0.006363313667786441,0.20990618503757896,0.19811850575408485,,0.0,0.0,0.36868507623672486,0.36868507623672486,400,0.0004349287989850863,0.002174643994925432,0.00016216985617309063,0.0007689030882589574,0.005,0.030555555555555558,0.0004349287989850863,3,1,3,s3_r1_t3
42,share_42,y_ir_rise_h,98893,173,0.00857796689439572,0.20990618503757896,0.08777976997137071,,0.0,0.029786815866827965,0.37162289023399353,0.37162289023399353,400,0.00041817361946716835,0.0020908680973358417,0.00013777614128759338,0.0007289267994542789,0.005,0.030555555555555558,0.00041817361946716835,3,1,2,s3_r1_t2
34,share_34,y_ir_rise_h,98893,173,0.008358540888755555,0.20990618503757896,0.09127209893010124,,0.0,0.0,0.43405792355537415,0.43405792355537415,400,-0.0004094194830149389,-0.0020470974150746946,-0.0007537366538401687,-0.0001551827675302353,0.005,0.030555555555555558,0.0004094194830149389,2,3,4,s2_r3_t4
10,share_10,y_ir_rise_h,98893,173,1.6121543070104425e-09,0.20990618503757896,0.5235111211495947,,0.0,0.0,0.00017586594447493553,0.00017586594447493553,400,-0.8461329021380433,-4.230664510690216,-1.421452800399858,-0.14409410179051366,0.01,0.04230769230769231,0.8461329021380433,1,2,5,s1_r2_t5
