cross_bin,share_feature,outcome_col,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,share_q01,share_q50,share_q99,support_width_1_99,bootstrap_success,effect_per_1pp,effect_per_5pp,ci_low,ci_high,p_value,q_value,abs_effect_per_1pp,soc_bin,rate_bin,temp_bin,cross_label
17,share_17,y_cap_drop_h,98893,173,0.0001348391505188725,0.3134462654203637,0.16213740444566427,,0.0,0.0,0.045369990170001984,0.045369990170001984,400,0.004344196853606494,0.02172098426803247,0.0024028204644858256,0.006168306945349305,0.0,0.0,0.004344196853606494,1,4,2,s1_r4_t2
13,share_13,y_cap_drop_h,98893,173,0.00010249829769554441,0.3134462654203637,0.07788361950072564,,0.0,0.0,0.05252561315894127,0.05252561315894127,400,-0.0035722524957007367,-0.017861262478503684,-0.006031517014444583,-0.001737533945863497,0.0,0.0,0.0035722524957007367,1,3,3,s1_r3_t3
30,share_30,y_cap_drop_h,98893,173,0.0010760535637679817,0.3134462654203637,0.6148677422358426,,0.0,0.0,0.1710815131664276,0.1710815131664276,400,-0.001725707087693538,-0.00862853543846769,-0.0024316587496094996,-0.0010186594235618669,0.0,0.0,0.001725707087693538,2,2,5,s2_r2_t5
37,share_37,y_cap_drop_h,98893,173,0.0008377894064313968,0.3134462654203637,0.16920974777041586,,0.0,0.0,0.13427955090999608,0.13427955090999608,400,0.0015513587698252505,0.0077567938491262525,0.0008956435272440158,0.0032990452043102796,0.0,0.0,0.0015513587698252505,2,4,2,s2_r4_t2
38,share_38,y_cap_drop_h,98893,173,0.0026732383066184998,0.3134462654203637,0.1683114665333454,,0.0,0.0,0.25587227940559387,0.25587227940559387,400,0.0011593222977219304,0.005796611488609652,0.0007330813757052559,0.0017233619108547077,0.0,0.0,0.0011593222977219304,2,4,3,s2_r4_t3
32,share_32,y_cap_drop_h,98893,173,0.0021627039052322383,0.3134462654203637,0.2614573069137689,,0.0,0.0,0.25618693232536316,0.25618693232536316,400,-0.000673492815966381,-0.003367464079831905,-0.0011607943091575287,-0.00020418189519474995,0.0,0.0,0.000673492815966381,2,3,2,s2_r3_t2
33,share_33,y_cap_drop_h,98893,173,0.0041878117615974314,0.3134462654203637,0.12497988494364787,,0.0,0.0,0.3225134313106537,0.3225134313106537,400,-0.0005410037916625774,-0.0027050189583128874,-0.000836849751047931,-0.00021119390219946318,0.0,0.0,0.0005410037916625774,2,3,3,s2_r3_t3
34,share_34,y_cap_drop_h,98893,173,0.008358540888755555,0.3134462654203637,0.09127209893010124,,0.0,0.0,0.43405792355537415,0.43405792355537415,400,-0.00047166139817214744,-0.0023583069908607373,-0.0007773253572959363,-0.00023426633890122098,0.0,0.0,0.00047166139817214744,2,3,4,s2_r3_t4
10,share_10,y_cap_drop_h,98893,173,1.6121543070104425e-09,0.3134462654203637,0.5235111211495947,,0.0,0.0,0.00017586594447493553,0.00017586594447493553,400,-0.9405125154168605,-4.702562577084303,-1.4709609548412361,-0.25149634224193723,0.005,0.02291666666666667,0.9405125154168605,1,2,5,s1_r2_t5
12,share_12,y_cap_drop_h,98893,173,8.882320129600584e-05,0.3134462654203637,0.22347263880075885,,0.0,0.0,0.05441289395093918,0.05441289395093918,400,-0.0032611484113394037,-0.016305742056697017,-0.005128585191732475,-0.0010451399076511656,0.005,0.02291666666666667,0.0032611484113394037,1,3,2,s1_r3_t2
