model_name,n_samples_complete_case,n_features,r2_in_sample,multiple_r,mae_in_sample,rmse_in_sample
combined_discharge_plus_policy,138540,19,0.6138594910694184,0.783491857691845,0.024012791452359513,0.03394180279030697
discharge_only,138540,16,0.6034742650036004,0.7768360605710837,0.024340227112389035,0.0343952058405108
policy_only,138540,3,0.016910686132085392,0.13004109401295189,0.03995950869612981,0.0541575128138918
