n_estimators,min_samples_split,min_samples_leaf,max_samples,max_features,max_depth,criterion,bootstrap,random_state,n_jobs,train_r2,valid_r2,train_rmse,valid_rmse,train_mae,valid_mae,gap
1000,2,1,0.85,0.3,18.0,squared_error,True,20260318,1,0.8382347868263547,0.5234002850434796,0.020620911505370054,0.03403391659684501,0.012655124080742083,0.024507213543878303,0.3148345017828751
600,5,2,,0.2,16.0,squared_error,True,20260318,1,0.7661485902525944,0.5202965496451168,0.024793354350599248,0.03414455540988172,0.015484111989142058,0.02470321954019211,0.24585204060747756
500,2,1,0.75,0.4,24.0,squared_error,True,20260318,1,0.884713507744342,0.5198178479596522,0.01740822550912249,0.034161587787400256,0.010883308468218314,0.02437272823122864,0.36489565978468974
1000,5,2,0.6,0.5,20.0,squared_error,True,20260318,1,0.7894326806549401,0.5195334731975021,0.023526687042836628,0.03417170192374491,0.014701340476045712,0.02443860300786277,0.269899207457438
500,2,2,,sqrt,18.0,squared_error,True,20260318,1,0.7840889010537961,0.5179028078671346,0.02382334692878686,0.03422964083002859,0.014973071583695324,0.024811133551928818,0.26618609318666153
300,2,1,0.75,0.35,28.0,squared_error,True,20260318,1,0.9001344675988061,0.5178138162676958,0.016202166920095084,0.034232799954344306,0.010158860502973023,0.024379785126322454,0.38232065133111026
500,2,2,0.6,0.8,28.0,squared_error,True,20260318,1,0.8325979076492859,0.5166379774474634,0.020977113703262433,0.03427451386795497,0.012947500562856032,0.02427966298704296,0.31595993020182245
1000,5,2,0.75,0.3,14.0,squared_error,True,20260318,1,0.7295647396778172,0.5165832695158799,0.026662259387301334,0.034276453443902885,0.016862293794741363,0.024849307205240787,0.21298147016193736
300,2,3,0.75,1.0,16.0,squared_error,True,20260318,1,0.7599306750343642,0.5158476266850686,0.02512080931574504,0.03430252374730948,0.015589128302557976,0.024469453654028004,0.24408304834929562
500,2,1,,0.6,18.0,squared_error,True,20260318,1,0.8551078465699462,0.5158113191616268,0.019515861386204966,0.03430380992951688,0.011634773325569782,0.024660408632797455,0.3392965274083194
300,2,3,0.95,0.2,18.0,squared_error,True,20260318,1,0.7631756047856268,0.5139897498167442,0.024950457289204416,0.034368276645565465,0.015678019565858847,0.024793382750336643,0.24918585496888268
800,10,3,0.85,0.8,18.0,squared_error,True,20260318,1,0.7643636103936783,0.5138080017029658,0.024887797887474822,0.034374702215385,0.01550170209320449,0.02448380031424894,0.2505556086907125
300,10,2,0.75,0.6,24.0,squared_error,True,20260318,1,0.7951712807789195,0.5137352276807619,0.023203885618157265,0.034377274750255676,0.014544107495079542,0.024476230014380984,0.28143605309815767
300,5,1,0.85,0.8,18.0,squared_error,True,20260318,1,0.8221286853282029,0.5136511949910693,0.021623114537821203,0.03438024503540779,0.013280032126347359,0.024652076596509965,0.3084774903371337
500,20,1,0.95,sqrt,24.0,squared_error,True,20260318,1,0.7454039924840714,0.5112344927545275,0.025869681732139993,0.0344655581417358,0.016994784674156573,0.024914363646967187,0.23416949972954393
