setting,train_r2,valid_r2,train_rmse,valid_rmse,train_mae,valid_mae
same_param_7seed_avg,0.83790856335476,0.5250578773509377,0.020641693591678764,0.03397468083389177,0.012650420315148674,0.024461973782374878
single_best,0.8382347868263547,0.5234002850434796,0.020620911505370054,0.03403391659684501,0.012655124080742083,0.024507213543878303
diverse_5model_weighted,0.8174121944469677,0.523222584154787,0.021907921484795867,0.034040260802896946,0.013640153312876055,0.024454084370399296
diverse_5model_avg,0.813235310858597,0.5228690610030776,0.022157087662144952,0.0340528786303678,0.013808883880071376,0.024443667021314484
