setting,n_features,train_mae,train_rmse,train_r2,valid_mae,valid_rmse,valid_r2
with_cycles,55,0.004337163780977528,0.007636962046010928,0.9778123819050266,0.018881433320196154,0.02802211306790785,0.6769039266583863
without_cycles,54,0.0071740568558466096,0.011694793161518434,0.9479699183200272,0.02439861144436498,0.03436173328979462,0.5141747946053282
