n_seeds,train_r2,valid_r2,train_rmse,valid_rmse,train_mae,valid_mae
1,0.8382347868263547,0.5234002850434796,0.020620911505370054,0.03403391659684501,0.012655124080742083,0.024507213543878303
3,0.8382552543717744,0.524977372431567,0.02061960692082497,0.033977560145829235,0.01264177324997695,0.024476134468718255
5,0.8377634787279794,0.5250131647111298,0.020650929497747286,0.03397628004129275,0.012653716438675402,0.024466363030096278
7,0.83790856335476,0.5250578773509377,0.020641693591678764,0.03397468083389177,0.012650420315148674,0.024461973782374878
9,0.8380598037653384,0.525189158631161,0.020632061414817226,0.03396998494817792,0.012644834760526396,0.024456147777910334
11,0.8380359689391113,0.5251364118092661,0.020633579702174446,0.0339718717616512,0.012644933661333485,0.02445964022780608
15,0.8380007162192301,0.5251459368636533,0.020635825108837977,0.03397153104743676,0.012644075729942524,0.02445655626410592
