epoch,train_loss,valid_loss,is_best_epoch
1,0.021908232812518247,0.0024168354619642967,1
2,0.00610500274109916,0.002683725730597997,0
3,0.004579692990473524,0.000601878846301689,1
4,0.004209683144898371,0.0003249716946420141,1
5,0.0035523588250580894,0.001497982618154902,0
6,0.0033599854707707703,0.00015602605417398596,1
7,0.0030937721992116206,0.0001297480092638659,0
8,0.003099373356429868,0.00011454161379179273,0
9,0.003068044015126916,0.0001147060889116198,0
10,0.002740231434857911,0.00015575449348249827,0
11,0.0025840802460541327,0.00011539691583895409,0
12,0.0024643014616647983,0.00015206405856220368,0
13,0.002359933900675498,0.00015129328417609898,0
14,0.002136321242013509,0.00013221227107781087,0
15,0.0020629558388523418,0.00015108330149753382,0
16,0.0018947357558699194,0.00011299300686181952,0
17,0.001794277661758559,0.00014574459124385954,0
18,0.0016548667685579376,0.00012030535205644134,0
19,0.0015762923936109366,0.00015407472299632302,0
